German,English
der Hörer,the listener
der Horrorfilm,the horror film
der Jude,the jew
der Kaffeefilter,the coffee filter
der Kandidat,the candidate
der Katalog,the catalogue
der Kauf,the purchase
der Käufer,the customer
der Kaufvertrag,the sales contract
der Klimawandel,the climate change
der Kommentator,the commentator
der Kommissar,the commissioner
der Konflikt,the conflict
der Krieg,the war
der Krimi,the crime thriller
der Kritiker,the critic
der Kunststoff,the synthetic material
der Lärm,the noise
der Leuchtturm,the lighthouse
der Mauerbau,the building of the wall
der Mauerfall,the fall of the Berlin wall
der Meerblick,the seaview
der Mietspiegel,the rent index
der Mietvertrag,the rental contract
der Milchkarton,the milk carton
der Mord,the murder
der Nachteil,the disadvantage
der Nationalsozialismus,the national socialism
der Nebel,the fog
der Onlineshop,the online shop
der Paketbote,the parcel carrier
der Paketdienst,the parcel service
der Papiermüll,the paper waste
der Passagier,the passenger
der Pilotenstreik,the pilot strike
der Planet,the planet
der Pool,the pool
der Protest,the protest
der Reiseplan,the itinerary
der Reporter,the reporter
der Retourenschein,the return order slip
der Richter,the judge
der Sack,the sack
der Schaden,the damages
der Schadstoff,the hazardous substance
der Schalter,the desk
der Schiedsrichter,the referee
der Sieger,the winner
der Skisport,the ski sport
der Sondermüll,the hazardous waste
der Sonnenschein,the sunshine
der Sonnenschirm,the parasol
der Sonnenuntergang,the sunset
der Sperrmüll,the bulky waste
der Spieler,the player
der Spielfilm,the feature film
der Staat,the state
der Stern,the star
der Tagesablauf,the daily routine
der Tierschutz,the animal protection
der Torwart,the goalee
der Tote,the dead people
der Tsunami,the tsunami
der Turm,the tower
der Umweltschutz,the environmental protection
der Verbraucher,the consumer
der Verlierer,the loser
der Versand,the shipping
der Verstoß,the violation
der Wanderer,the hiker
der Warenkorb,the basket
der Waschraum,the laundry room
der Werktag,the working day
der Wertstoff,the recyclable material
der Widerspruch,the contradiction
der Wind,the wind
der Wirbelsturm,the hurricane
der Wohnwagen,the caravan
der Zeichentrickfilm,the animated film
der Zeitraum,the time frame
der Zoll,the customs
der Zuschauer,the viewer
der Zuschlag,the fees
der Zutritt,the access
deswegen,that is why
dicht,thick
die Absage,the cancellation
die Alliierte,the ally
die Amtssprache,the official language
die Anprobe,the fitting room
die Anzeigetafel,the bulletin board
die Arbeitskraft,the workforce
die Arbeitslosigkeit,the unemployment
die Art,the type
die Artikelnummer,the item number
die Atmung,the breathing
die Aufregung,the commotion
die Auftragsnummer,the order number
die Ausnahme,the exception
die Ausstattung,the equipment
die Auswahl,the selection
die Auswanderung,the emigration
die Begleitperson,the accompanying person
die Belastung,the pollution
die Beleidigung,the insult
die Besatzungszone,the occupied zone
die Beschimpfung,the swear
die Bestellhotline,the order hotline
die Bordkarte,the boarding pass
die Bundesrepublik,the federal republic
die Chemikalie,the chemicals
die Chips,the crisps
die Demokratie,the democracy
die Demonstration,the demonstration
die Detektivgeschichte,the detective story
die Deutsche Demokratische Republik,the German democratic republic
die Dienstreise,the business trip
die Diskussion,the discussion
die Dokumentation,the documentary
die DVD,the DVD
die Eierschale,the egg shell
die Einsteigezeit,the boarding time
die Einwanderung,the immigration
die Energiesparlampe,the energy efficient bulb
die Entscheidung,the decision
die Erde,the earth
die Erderwärmung,the global warming
die Ergänzung,the addition
die Erinnerung,the memory
die Erlaubnis,the permission
die Euroeinführung,the introduction of the Euro
die Europäische Union,the European union
die Fluggesellschaft,the airline
die Fremdsprache,the foreign language
die Freude,the joy
die Frist,the deadline
die Gepäckausgabe,the baggage reclaim
die Gewohnheit,the habit
die Grenze,the border
die Halbpension,the half-board
die Hauptstadt,the capital city
die Heimat,the home country
die Herstellung,the manufacture
die Industrie,the industry
die Instandhaltung,the maintenance
die Jugendherberge,the youth hostel
die Kaufbestätigung,the purchase confirmation
die Kindheit,the childhood
die Komödie,the comedy
die Konservendose,the preserving jars
die Kosmetik,the cosmetics
die Krippe,the crib
die Kundenbefragung,the customer survey
die Kündigung,the termination
die Lage,the site
die Langeweile,the boredom
die Lautsprecherdurchsage,the tannoy announcement
die Leichtathletik,the athletics
die Leine,the rope
die Lieblingsbeschäftigung,the favourite pastime
die Lieferbedingung,the delivery conditions
die Lieferung,the delivery
die Luft,the air
die Mannschaft,the team
die Matratze,the mattress
die Mauer,the wall
die Medizin,the medicine
die Mehrheit,the majority
die Mehrkosten,the extra costs
die Mieterhöhung,the rent increase
die Migration,the migration
die Minderheit,the minority
die Moderation,the presentation
die Modernisierung,the modernisation
die Mülltonne,the rubbish bin
die Mülltrennung,the waste separation
die Muttersprache,the native language
die Nachkriegszeit,the post-war years
die Nachnahme,the cash on delivery
die NATO,the NATO
die Naturkatastrophe,the natural disaster
die Niederlage,the defeat
die Notunterkunft,the emergency accommodation
die Obstschale,the fruit skin
die Öffnung,the opening
die Pappe,the cardboard
die Passkontrolle,the passport control
die Phase,the phase
die Qualität,the quality
die Quizshow,the quiz show
die Rangliste,the league table
die Regierung,the government
die Reiseplanung,the travel planning
die Reklamation,the complaint
die Reportage,the report
die Republik,the republic
die Retoure,the return order
die Rücksendung,the return delivery
die Rücksicht,the consideration
die Ruhezeit,the rest period
die Runde,the round
die Sammelstelle,the collection point
die Sauberkeit,the cleanliness
die Schlange,the snake
die Sendung,the programme
die Serie,the series
die Soap,the soap opera
die Solarenergie,the solar energy
die Sonnenterrasse,the sun terrace
die Sorge,the worry
die Staatsgründung,the formation of a state
die Statistik,the statistics
die Talkshow,the talk show
die Taschenlampe,the torch
die Teilung,the division
die Übernachtung,the overnight stay
die Übernachtung mit Frühstück,the overnight stay with breakfast
die Übertragung,the transmission
die Umgebung,the surroundings
die Umweltverschmutzung,the environmental pollution
die Unterhaltung,the entertainment
die Versandkosten,the shipping fee
die Versandkostenpauschale,the flat shipping rate
die Verschwendung,the waste
die Wandertour,the walking tour
die Ware,the goods
die Weltmeisterschaft,the World cup
die Wiedervereinigung,the reunification
die Windel,the nappy
die Wolke,the cloud
die Zahlung,the payment
die Zeitverschwendung,the waste of time
die Zerstörung,the destruction
die Zigarettenkippe,the cigarette butts
die Zimmerlautstärke,the room volume
doof,dumb
doppelt,doubled
dramatisch,dramatic
dumm,stupid
durchlässig,permeable
ebenso,as well
ehemalig,former
eher,rather
ehrlich,honest
eilig,urgent
einfallen,to occur
einführen,to introduce
einhalten,to comply
einlegen,to insert
einschlafen,to fall asleep
einsetzen,to use
einsperren,to confine
einstellen,to set up
emotional,emotional
enden,to end
entspannend,relaxing
entsprechen,to correspond to
entstehen,to result
entwickeln,to develop
erfolgreich,successful
erhältlich,available
erhöhen,to increase
erinnern,to remember
erleben,to experience
erleichtern,to relieve
erwähnen,to mention
eskalieren,to escalate
eventuell,possible
exotisch,exotic
fair,fair
falls,in case
festkleben,to stick
fördern,to promote
friedlich,peaceful
fristgerecht,punctual
fristlos,without notice
führen,to lead
füttern,to feed
gesetzlich,legal
gestattet sein,to be permitted
giftig,toxic
gründen,to establish
hämmern,to hammer
hart,hard
heizen,to heat
herstellen,to manufacture
historisch,historical
hygienisch,hygienic
innerhalb,within
irgendwann,at some point
irgendwie,somehow
jahrelang,for years
kaum,hardly
klettern,to climb
klug,clever
komfortabel,comfortable
kundenfreundlich,customer friendly
kuscheln,to cuddle
landen,to land
lebhaft,lively
lieferbar,in stock
liefern,to deliver
lüften,to air
massiv,solid
meckern,to whinge
merken,to realise
miteinander,together
miterleben,to experience with
mitreden,to have a say
mitten,middle
motiviert,motivated
musikalisch,musical
naschen,to snack
neblig,foggy
neugierig,curious
objektiv,objective
obwohl,although
offenbar,obvious
politisch,political
portofrei,postage paid
produzieren,to produce
protestieren,to protest
rechtzeitig,on time
recyceln,to recycle
reiten,to ride
retten,to rescue
romantisch,romantic
sammeln,to collect
sauber,clean
sauer,sour
schädigen,to damage
schädlich,harmful
schalten,to switch
schießen,to shoot
schmutzig,dirty
schützen,to protect
selbstverständlich,of course
siegen,to win
sinnlos,meaningless
sinnvoll,meaningful
sortieren,to sort
spannend,exciting
sparsam,economical
stattfinden,to take place
stinken,to stink
stören,to disturb
streiken,to strike
streiten,to argue
tatsächlich,actual
total,totally
traumhaft,wonderful
treu,faithful
trüb,gloomy
überlegen,to think about
übernachten,to stay overnight
üblich,normal
umdrehen,to turn around
umgehen,to go round
umgehend,immediately
umweltfreundlich,environmentally friendly
unentschieden,undecided
ungesund,unhealthy
unglaublich,unbelievable
unverbindlich,non-binding
verändern,to change
verärgert,annoyed
verdrängen,to suppress
vereinigen,to unite
verfolgen,to follow
vergleichbar,comparable
verhaften,to arrest
verlängern,to extend
verlassen,to leave
verlaufen,to continue
vermischen,to mix
verpacken,to package
verpflichten,to compel
verreisen,to travel
versandkostenfrei,free of shipping costs
verschieben,to postpone
verschmutzen,to contaminate
verschwenden,to disappear
versenden,to send
versprechen,to promise
verstoßen,to violate
verwerten,to exploit
völlig,completely
voraussichtlich,provisionally
vorher,before
vorhersagen,to predict
wahrscheinlich,probably
wasserdicht,waterproof
wegräumen,to clear away
wegschmeißen,to chuck out
wegwerfen,to throw away
weshalb,which is why
widerrufen,disclaimer
wiedervereinigen,to re-unify
wütend,angry
zappen,to channel surf
zerstören,to destroy
zugeben,to admit
zurückfahren,to go back
zurückkehren,to return
zurücklassen,to leave behind
zurückschicken,to send back
zurücktreten,to withdraw
zustimmen,to agree
