deutsch,englisch
die Uniform,the uniform
unten,under
der Unterschied,the difference
die Variante,the alternative
die Vergangenheit,the past
der Vokabeltest,the vocabulary test
der Vortrag,the presentation
werfen,to throw
die Akupunktur,the acupuncture
die Alternative,the alternative
anerkannt,recognised
die Anweisung,the instruction
die Auflistung,the list
die Behandlung,the treatment
belegen,to prove
die Bescheinigung,the certificate
der Boden,the floor
dagegen,in contrast
damit,so that
der Eiswürfel,the ice cube
empfindlich,sensitive
engagieren,to engage
entspannen,to relax
die Entspannung,the relaxation
erfahren,to find out
erstatten,to compensate
fit,fit
gesamt,whole
gesundheitlich,hygienic
die Gymnastik,the gymnastics
das Handgelenk,the wrist
das Hausmittel,the home remedy
die Haut,the skin
hiermit,hierwith
hierzu,hereto
hochlegen,to elevate
holen,to fetch
klagen,to sue
kommunizieren,to communicate
kompliziert,complicated
die Kostenerstattung,the reimbursement of costs
die Kostenübernahme,the cost transfer
kühlen,to cool
leihen,to lend
manche,some
die Massage,the massage
massieren,to massage
die Meditation,the meditation
der Muskel,the muscle
die Nebenwirkung,the side effect
das Pilates,the pilates
der Rat,the advice
reizen,to irritate
die Rückenmuskulatur,the back muscles
schlafengehen,to go to sleep
schlagen,to hit
die Schmerztablette,the pain medication
die Schwellung,the swelling
selber,by oneself
speziell,special
die Sportart,the type of sport
der Sportverein,the sports club
ständig,constant
stärken,to strengthen
der Tanzkurs,the dance class
die Teilnahme,the participation
die Teilnahmebescheinigung,the participation certificate
telefonisch,by telephone
die Therapie,the therapy
der,the trainer
treiben,to do
die Tüte,the bag
die Übelkeit,the nausea
übersenden,to send
überweisen,to transfer
übrigens,by the way
die Verabschiedung,the approval
vermitteln,to procure
verschreiben,to prescribe
der,the policy holder
der Versicherungstarif,the insurance tariff
die Verspannung,the tension
während,during
die Wärmflasche,the hot water bottle
weggehen,to go away
zwischendurch,occasionally
abheben,to withdraw
die Aktivität,the activity
anfordern,to request
die Armut,the poverty
aufheben,to cancel
ausdrucken,to print
die Bankkarte,the bank card
der,the banker
die Bankleitzahl,the sort code
der Bankschalter,the bank counter
bar,in cash
das Bargeld,the cash
bargeldlos,cashless
die Basis,the basis
begleichen,to settle
berechnen,to calculate
die Bestellnummer,the order number
die Bestellung,the order
der BIC,the BIC
der Blick,the view
die Broschüre,the brochure
drücken,to press
eigen,own
die Eingabe,the input
eingeben,to input
einzahlen,to pay in
erledigen,to manage to
eröffnen,to open
die Filiale,the branch
folgend,following
formulieren,to formulate
die Gebühr,the fee
der Geldautomat,the cash machine
die Geldbörse,the purse
das Geldstück,the coin
genießen,to enjoy
gewinnen,to win
die Girocard,the girocard
das Girokonto,the current account
das Hufeisen,the horseshoe
die IBAN,the IBAN
indirekt,indirect
die Innenstadt,the city centre
jederzeit,anytime
das Kleeblatt,the cloverleaf
das Kleingeld,the small change
der Kontoauszug,the account statement
der,the account holder
die Kontonummer,the account number
der Kontostand,the balance
kontrollieren,to monitor
das Kreditinstitut,the credit institute
die Kreditkarte,the credit card
die Kundennummer,the customer number
die Kundenreferenz,the customer reference
der Laden,the premises
die Leistung,the service
die Menge,the amount
mobil,portable
monatlich,monthly
die Münze,the coin
niemand,nobody
der Nulltarif,the zero tariff rate
nutzen,useage
das Online,the online banking
der Pfennig,the penny
der PIN,the PIN
der Quatsch,the rubbish
die Rechnung,the bill
der Rechnungsbetrag,the invoice amount
die Rechnungsnummer,the invoice number
reich,rich
der Reichtum,the wealth
der Respekt,the respect
der Schein,the certificate
schieben,to shut
schlachten,to rob
der,the chimney sweep
das Sparkonto,the savings account
das Sparschwein,the piggy bank
spätestens,at the latest
stecken,to put
stoßen,to encounter
die TAN,the TAN
die Taste,the button
der,the culprit
der Überfall,the robbery
überfallen,to rob
die Überwachungskamera,the CCTV
die Überweisung,the transfer
das Überweisungsformular,the bank transfer form
der Versuch,the attempt
der Verwendungszweck,the purpose
der Vorteil,the advantage
weglaufen,to run away
der,the payee
der Zeitungsartikel,the newspaper article
der,the thing
zurückgeben,to return
abschalten,to switch off
der Appetit,the appetite
ärgern,to annoy
asiatisch,asian
der Ausflug,the excursion
ausgezeichnet,excellent
der Ausgleich,the balance
außer,apart from
die Aussicht,the prospect
der,the babysitter
die Band,the band
das Basketball,the basketball
basteln,to do crafts
das Besteck,the cutlery
der Chor,the choir
daheim,at home
der Daumen,the thumb
der Einlass,the admission
entlang,along
das Event,the event
das Feuerzeug,the lighter
die Freizeit,the free time
die Freizeitaktivität,the free time activities
das Freizeitangebot,the leisure opportunities
das Freizeitvergnügen,the pastime
die Gabel,the fork
die Gastronomie,the gastronomy
das Gedicht,the poem
der Gegensatz,the contrast
gemischt,mixed
das Geschirr,the crockery
der Grill,the barbecue
die Grillkohle,the barbecue coal
der Grillplatz,the barbecue area
die Grillsoße,the barbecue sauce
die Grillzange,the barbecue tong
herrlich,delightful
herum,around
interessieren,to interest
der,the interview partner
irgendwo,somewhere
jährlich,annually
jeweils,respectively
knackig,crispy
konzentrieren,to concentrate
der Kumpel,the mate
die Leidenschaft,the passion
der Löffel,the spoon
malen,to paint
meist,most
das Messer,the knife
mitfahren,to travel with
nähen,to sew
normalerweise,normally
das Open,the open air concert
der Poetry,the poetry slam
die Regie,the management
der Saal,the hall
das Schach,the chess
der Schnupperkurs,the taster course
die Schüssel,the key
segeln,to sail
der Sieg,the victory
das Spielfeld,the playing field
das Sportergebnis,the sports result
der Sportplatz,the sports field
surfen,to surf
der Tango,the tango
der,the dancer
die Tischdecke,the tablecloth
die Tischdekoration,the table decoration
trotzdem,despite
umfangreich,comprehensive
die Umfrage,the survey
die Umkleide,the changing room
unterhalten,to entertain
veranstalten,to organise
der Veranstaltungshinweis,the event information
verbringen,to spend time
die Verpackung,the packaging
verteilen,to distribute
das Volleyballspiel,the volley ball game
die Vorlesung,the lecture
wundervoll,wonderful
