German,English
premium,premium
anwesend,present
jetzig,present-day
gepresst,pressed
Verbesserungsprozess),process)
produktiv,productive
ordnungsgemäß,properly
stolz,proud
psychisch,psychological
qualifiziert,qualified
unüberlegt,rash
realistisch,realistic
betanken,refuelling
regulär,regular
entspannt,relaxed
relevant,relevant
zulässig,reliable
übrig,remaining
erneuerbar,renewable
schulpflichtig,required to attend school
respektvoll,respectful
jeweilig,respective
beziehungsweise,respectively
ansprechbar,responsive
gespült,rinsed
skeptisch,sceptical
wissenschaftlich,scientific
zerkratzt,scratched
wählbar,selectable
selbstbewusst,self-confident
dienstältere,senior
sensibel,sensitive
spitz,sharp
glänzend,shiny
kurzfristig,short-term
schüchtern,shy
wesentlich,significant
alleinerziehend,single
sodass,so that
anderswo,somewhere else
souverän,sovereign
platzsparend,space-saving
spontan,spontaneous
frühlingsgrün,spring green
einheitlich,standard
genormt,standardised
staatlich,state
geradewegs,straightaway
gestresst,stressed
nachfolgend,subsequent
fundiert,substantiated
genügend,sufficient
geeignet,suitable
sonnengelb,sunshine yellow
sicherlich,surely
flink,swift
gezielt,targeted
befristet,temporary
dankbar,thankful
das Accessoire,the accessory
der Arbeitsunfall,the accident at work
die UV,the accident insurance
der Unfallort,the accident scene
der Buchhalter,the accountant
die Buchführung,the accounting
die Aufstockung,the accumulation of capital
der Vorwurf,the accusation
die Tätigkeit,the activity
die Administration,the administration
die Verwaltungsaufgabe,the administrative task
das Jugendalter,the adolescence
das Erwachsenenalter,the adulthood
die Werbung,the advertisement
der Werbeslogan,the advertising slogan
die Interessenvertretung,the advocacy group
der Afrorap,the Afro rap
die Altersklasse,the age bracket
die Altersgruppe,the age group
die Altersbegrenzung,the age limit
die Agenda,the agenda
die Vereinbarung,the agreement
die Klimaanlage,the air conditioning system
die Klimatechnik,the air conditioning technology
der Alaskaseelachs,the alaska pollack
die Zuordnung,the allocation
die Mandel,the almond
die Wechselschicht,the alternate shift
der Krankenwagen,the ambulance
die Analyse,the analysis
die Ankündigung,the announcement
die Jahresbilanz,the annual balance sheet
der Jahresurlaub,the annual leave
das Vorgehen,the approach
die Genehmigung,the approval
die Schürze,the apron
das Gebiet,the area
das Argument,the argument
die Terminabstimmung,the arrangement of appointment
der Pfeil,the arrow
die Artischocke,the artichoke
die Artikelbezeichnung,the article description
der Aspekt,the aspect
die Montage,the assembly
die Montageanleitung,the assembly instruction
das Sortiment,the assortment
der Atlantik,the atlantic
die Atmosphäre,the atmosphere
der Anhang,the attachment
der Dachboden,the attic
das Audit,the audit
die Automatisierungstechnik,the automation technology
die Automobilindustrie,the automotive industry
die Automobilherstellung,the automotive manufacturing
der Automobilzulieferer,the automotive supplier
das Vordach,the awning
die Sicherungskopie,the backup copy
das Gleichgewicht,the balance
der Bankettsaal,the banquet hall
das Flachbild,the bas-relief
die Grundpflege,the basic care
die Grundbildung,the basic education
die Grundlage,the basis
das Baddesign,the bathroom design
der Akku,the battery
die Frühstückspension,the bed and breakfast
das Rind,the beef
der Fahrradhändler,the bicycle dealer
die Blutung,the bleeding
die Sperrzeit,the blocking time
der Blog,the blog
der Bauplan,the blueprint
die Vorstandssitzung,the board meeting
die Bücherkiste,the book box
der Bücherschrank,the book cupboard
der Bücherflohmarkt,the book flea market
die Buchung,the booking
die Buchungsnummer,the booking number
das Bücherregal,the bookshelf
die Kiste,the box
die Halterung,the bracket
die Branche,the branch
die Marke,the brand
die Pausenzeit,the break period
die Pausenregelung,the break regulation
das Frühstücksbüfett,the breakfast buffet
der Frühstücksraum,the breakfast room
der Frühstücksablauf,the breakfast times
die Kurzanleitung,the brief instruction
der Prospektständer,the brochure rack
die Buchungsbestätigung,the Buchungsbestätigungen booking confirmation
das Budget,the budget
der Einbauherd,the built-in oven
die Last,the burden
der Burnout,the burnout
die Visitenkarte,the business card
der Geschäftsbrief,the business letter
die Geschäftschance,the business opportunity
die Betriebsstätte,the business premises
die Geschäftsreise,the business trip
die Kabeltrommel,the cable reel
die Kalenderfunktion,the calendar function
der Kalendermonat,the calendar month
das Kalenderjahr,the calendar year
die Ausschreibung,the call for tender
das Kantinenpersonal,the canteen staff
die Kappe,the cap
die Kapazität,the capacity
der Mietautoservice,the car rental service
die Fahrgemeinschaft,the car sharing
das Autohaus,the car showroom
die Kartenzahlung,the card payment
die Pflege,the care
das Pflegeheim,the care home
das Seniorenstift,the care home for the elderly
die Pflegemaßnahme,the care measure
die Altenpflege,the care of the elderly
das Betreuungsangebot,the care offer
der Pflegedienst,the care service
der Pflegebedürftige,the care-dependent person
die Karriere,the career
die Berufsmöglichkeit,the career opportunity
die Berufschance,the career prospect
der Pfleger,the carer
der Schreiner,the carpenter
die Barzahlung,the cash payment
der Zementsack,the cement sack
der Zentimeter,the centimetre
das Cerankochfeld,the ceramic hob
die Zertifizierung,the certification
die Industrie und Handelskammer,the chamber of industry and commerce
die Chance,the chance
der Wandel,the change
die Eigenschaft,the characteristic
das Ladegerät,the charger
die Anrechnung,the charges
der Chat,the chat
die Frohnatur,the cheerful nature
der Apothekerschrank,the chemist’s cupboard
die Tagesmutter,the child minder
die Kinderbetreuung,the childcare
der Kindersitz,the children’s seat
das Weihnachtsgeschäft,the Christmas sales
die Kirchensteuer,the church tax
der KVP,the cip
der Umstand,the circumstance
der Stadtrat,the city counsellor
der Anspruch,the claim
die Einteilung,the classification
die Klausel,the clause
die Aufräumarbeit,the clean-up work
die Reinigungskraft,the cleaner
die Reinigung,the cleaning
das Reinigungsmittel,the cleaning agent
die Klinik,the clinic
die Schließung,the closing-down
der Coach,the coach
der Kaffeevollautomat,the coffee machine
die Kälte,the cold
die Wurstplatte,the cold meat platter
die Kollektion,the collection
die Bequemlichkeit,the comfort
die Handelssprache,the commercial language
die Betriebsvereinbarung,the company agreement
der Firmenkunde,the company client
die Firmenkultur,the company culture
der Betriebskindergarten,the company nursery
die Firmenphilosophie,the company philosophy
das Firmengelände,the company property
der Firmentransporter,the company transporter
der Vergleich,the comparison
die Vereinbarkeit,the compatibility
die Kompetenz,the competency
die Konkurrenz,the competition
die Einhaltung,the compliance
die Gelassenheit,the composure
das Computerzubehör,the computer accessories
das Konzentrat,the concentrate
der Beton,the concrete
die Kondition,the condition
die Konferenz,the conference
das Konferenzzentrum,the conference centre
das Messehotel,the conference hotel
der Tagungsraum,the conference room
die Konfession,the confession
das Selbstvertrauen,the confidence
die Verschwiegenheitspflicht,the confidentiality agreement
das Konfliktverhalten,the conflict behaviour
das Konfliktgespräch,the conflict discussion
der Kongress,the congress
das Verbindungsstück,the connecting piece
die Flugverbindung,the connection
der Anschlusskontakt,the connector contact
die Zustimmung,the consent
die Folge,the consequence
die Berücksichtigung,the consideration
der Bau,the construction
die Baufirma,the construction company
die Baustelle,the construction site
der Ansprechpartner,the contact person
die Erreichbarkeit,the contactability
der Inhalt,the content
die Fortzahlung,the continued payment
die Vertragsänderung,the contract amendment
der Beitrag,the contribution
das Controlling,the controlling
die Tagung,the convention
die Kooperation,the cooperation
die Kernzeit,the core working hours
die Unternehmenskultur,the corporate culture
die Unternehmensstruktur,the corporate structure
die Baumwolle,the cotton
die Landesgrenze,the country border
der Geschäftsablauf,the course of business
das Cover,the cover
die Abdeckung,the coverage
der Handwerksberuf,the craftsman's trade
der Handwerksbetrieb,the craftsman’s business
das Kriterium,the criteria
die Kritik,the critic
die Moderationskarte,the cue card
der Herdumbauschrank,the cupboard enclosing oven
der Spülenumbauschrank,the cupboard enclosing sink
die Kurpackung,the cure package
das Kissen,the cushion
der Kissenbezug,the cushion cover
der Kundenrabatt,the customer discount
das Kundengespräch,the customer meeting
die Kundenbewertung,the customer rating
die Kundenunterlagen,the customer records
die Kundenzufriedenheit,the customer satisfaction
der Kundenservice,the customer service
der Kundenberater,the customer service advisor
der Schnitt,the cut
das Datenblatt,the data sheet
der Tod,the death
das Streitgespräch,the debate
die Delegation,the delegation
die Lieferadresse,the delivery address
die Lieferkosten,the delivery costs
die Lieferschwierigkeit,the delivery difficulty
der Lieferschein,the delivery slip
die Lieferzeit,the delivery time
der Lieferwagen,the delivery van
der Zahnarzthelfer,the dental assistant
die Abreise,the departure
die Depression,the depression
die Bezeichnung,the description
die Wegbeschreibung,the description of the route
das Design,the design
die Einzelheit,the detail
die Festlegung,the determination
die Entwicklung,the development
die Schwierigkeit,the difficulty
die Lastschrift,the direct debit
die Behinderung,the disability
der Rabatt,the discount
die Diskussion,the discussion
das Display,the display
die Unzufriedenheit,the dissatisfaction
die Distanz,the distance
der Fernunterricht,the distance learning
der Fernkurs,the distance learning course
der Auslandsvertrieb,the distribution abroad
der Händler,the distributor
der Bezirk,the district
die Kreisstadt,the district town
der Arzthelfer,the doctor’s assistant
der Spender,the donor
der Bohrhammer,the drill hammer
der Fahrersitz,the driver’s seat
die Dropbox,the dropbox
der Probedurchlauf,the dry-run
die Zeitdauer,the duration
das E-Learning,the e-learning
die Frühschicht,the early shift
der E-Book-Reader,the ebook reader
die EC-Karte,the ec card
die Bildung,the education
der Bildungsserver,the education server
die Bildungseinrichtung,the educational facility
der Bildungsabschluss,the educational level
die Auswirkung,the effect
die Wirksamkeit,the effectiveness
das Achtel,the eighth
die Einverständniserklärung,the Einverständniserklärungen declaration of consent
der Elektromarkt,the electrical store
der Elektriker,the electrician
die Elektrotechnik,the electro-technology
das Elektrogerät,the electronic device
das Element,the element
der Notfall,the emergency
das Notfallzentrum,the emergency centre
der Notarzt,the emergency doctor
der Notausgang,the emergency exit
die Notfallnummer,the emergency number
der Notfallsanitäter,the emergency paramedic
die Notsituation,the emergency situation
die Unfallchirurgie,the emergency surgery
der Arbeitnehmer,the employee
das Mitarbeitermeeting,the employee meeting
die Beschäftigung,the employment
der Arbeitsvermittler,the employment agency
die Arbeitsförderung,the employment promotion
das Jahresende,the end of the year
die Energieeffizienzklasse,the energy efficiency class
das Entrecôte,the entrecôte steak
das Umfeld,the environment
die Gleichberechtigung,the equal rights
die Flucht,the escape
der Fluchtweg,the escape route
die Errichtung,the establishment
die Evakuierung,the evacuation
die Evaluation,the evaluation
das Volkshochschulprogramm,the evening classes programme
der Veranstalter,the event organiser
der Beweis,the evidence
die Führungskraft,the executive
die Managerkrankheit,the executive burnout
die Geschäftsleitung,the executive committee
die Leistungsschau,the exhibition
der Aussteller,the exhibitor
der Bestandskunde,the existing customer
der Exot,the exotic person
das Fachwissen,the expert knowledge
der Expertenbericht,the expert report
der Export,the export
der Ausdruck,the expression
das Maß,the extent
der Außentermin,the external appointment
die Außenbeleuchtung,the external lighting
die Dunstabzugshaube,the extractor hood
die Augenschädigung,the eye damage
die Fabrik,the fabric
das Stoffmuster,the fabric pattern
der Fakt,the fact
das Werk,the factory
die Vertrautheit,the familiarity
die Familientradition,the family tradition
das Lieblingsstofftier,the favourite stuffed animal
die Bundesagentur für Arbeit,the Federal Employment Agency
die Geborgenheit,the feeling of security
die Feuerlöscheinrichtung,the Feuerlöscheinrichtungen fire extinguishing unit
das Feld,the field
die Akte,the file
die Finanzabteilung,the finance department
das Fingerfood,the finger food
die Feuerwehr,the fire brigade
der Ersthelfer,the first aider
das Festgeld,the fixed deposit
die Flatrate,the flat rate
die Flexibilität,the flexibility
die Gleitzeit,the flexible working hours
der Flipchart,the flip chart
die Etage,the floor
die Flüssigkeit,the fluid
der Flyer,the flyer
der Zollstock,the folding ruler
das Folgejahr,the following year
die Essensausteilung,the food distribution
die Nahrungsaufnahme,the food intake
der Lebensmitteltechniker,the food technician
die Fußverletzung,the foot injury
die Zukunftsprognose,the forecast
der Vorarbeiter,the foreman
der Gabelstapler,the forklift trucks
die Anredeform,the form of address
die Ausbildungsform,the form of training
der Rahmen,the frame
die Honorartätigkeit,the freelance job
der Freiberufler,the freelancer
das Spiegelei,the fried egg
die Front,the front
der Beifahrersitz,the front passenger seat
die Ganztagsschule,the full-time school
die Funktion,the function
die Förderung,the funding
das Möbelhaus,the furniture store
die Weiterentwicklung,the further development
die Zukunftsaussicht,the future prospect
die Gartenterrasse,the garden patio
das Gasrohr,the gas pipe
der Gott,the god
das GPS,the GPS
der Großraum,the greater area
die Grünpflanze,the green plant
die Bruttovergütung,the gross compensation
das Bruttogehalt,the gross income
das Gelände,the grounds
der Konzern,the group
die Garantie,the guarantee
der Gasthof,the guest house
das Fremdenzimmer,the guest room
die Pension,the guesthouse
die Anleitung,the guidance
die Richtlinie,the guideline
der Friseur,the hairdresser
die Handtasche,the handbag
der Griff,the handle
der Hängeschrank,the hanging cabinet
der Hängeeckschrank,the hanging corner cabinet
die Hard Skills,the hard skills
der Hut,the hat
die Spedition,the haulage
die Kopfverletzung,the head injury
der Abteilungsleiter,the head of department
die Personalleitung,the head of personnel
der Hauptsitz,the headquarters
das Gesundheitszentrum,the health centre
der Gehörschutz,the hearing protection
die Heizungstherme,the heater
der Heizungsanschluss,the heating connection
das Heizungsrohr,the heating pipe
die Heizungsinstallation,the heating system
die Heizungsanlage,the heating unit
die Höhe,the height
der Helfer,the helper
die KV,the HI
die Hierarchie,the hierarchy
die Hochschulreife,the higher education entrance qualification
die Bestnote,the highest mark
die Ferien,the holidays
das Heim,the home
die Homepage,the home page
die Hausarbeit,the homework
die Hoffnung,the hope
die Bewirtung,the hospitality
das Gastgewerbe,the hospitality industry
das Wohnheim,the hostel
das Hotelbuchungsportal,the hotel booking portal
die Hotelkategorie,the hotel category
der Hotelkaufmann,the hotel manager
die HR,the hr
das Menschenleben,the human life
der Personalkaufmann,the human resource manager
der Idiot,the idiot
die Abbildung,the illustration
das Image,the image
die Durchsetzung,the implementation
die Wichtigkeit,the importance
der Eindruck,the impression
die Verbesserung,the improvement
die Arbeitsunfähigkeit,the inability to work
der Eingang,the inbox
der Vorfall,the incident
die Eingliederung,the inclusion
die Lohnsteuer,the income tax
die Unannehmlichkeit,the inconvenience
das Gewerbegebiet,the industrial estate
der Industriemeister,the industrial foreman
die Großküche,the industrial kitchen
die Industrieanlage,the industrial plant
die Branchenkenntnis,the industry knowledge
das Informationsblatt,the information sheet
die Informatik,the information technology
der Verletzte,the injured person
die Verletzung,the injury
der Innenhof,the inner courtyard
die Innovation,the innovation
die Aufstellung,the installation
der Installateur,the installation technician
das Institut,the institute
das Instrument,the instrument
das Vorhaben,the intention
die Zwischenzeit,the interim period
die Innenbeleuchtung,the internal lighting
die Hauspost,the internal mail
die Internetbewerbung,the internet job application
die Internetseite,the internet page
das Internetportal,the internet portal
der Dolmetscher,the interpreter
der Eingriff,the intervention
die Inventur,the inventory
der Investor,the investor
die Ausgabe,the issue
die Stückzahl,the item no.
der Tagesordnungspunkt,the item of the agenda
die Reiseroute,the itinerary
die Stellenausschreibung,the job advertisement
das Arbeitsamt,the job centre
das Bewerbungsgespräch,the job interview
der Arbeitsmarkt,the job market
l,the job outline
der Witz,the joke
der Journalist,the journalist
das Ermessen,the judgement
das Saftkonzentrat,the juice concentrate
die Tastatur,the keyboard
die Küchenzeile,the kitchen unit
das Wissen,the knowledge
das Laboratorium,the laboratory
die Platzwunde,the laceration
das Lamm,the lamb
das Lammcarré,the lammcarré
das Leuchtmittel,the lamp
die Sprachförderung,the language development
die Sprachkenntnis,the language skill
das Großlager,the large warehouse
die Spätschicht,the late shift
der Wäschereiservice,the laundry service
die Anordnung,the layout
die Führungsqualität,the leadership quality
das Lernangebot,the learning opportunity
der Urlaubsanspruch,the leave entitlement
die LED,the LED
der Beschwerdebrief,the letter of complaint
das Motivationsschreiben,the letter of motivation
die Verbindlichkeit,the liability
der Lebensgefährte,the life partner
die Zeile,the line
der Link,the link
die Belastungssituation,the load situation
der Ladevorgang,the loading process
das Darlehen,the loan
der Standort,the location
die Ortungsfunktion,the location function
das Login,the log-in
die Logistik,the logistics
das Logo,the logo
der Fernfahrer,the long-haul truck driver
der Lautsprecher,the loud speaker
der Unterschrank,the lower cabinet
die AG,the ltd.
das Schmiermittel,the lubricating agent
die Maschine,the machine
der Machospruch,the macho-talk
der Magnet,the magnet
das Zimmermädchen,the maid
der Versandhandel,the mail order business
das Hauptmenü,the main menu
die Kernarbeitszeit,the main working hours
die Wartung,the maintenance
der Wartungsvertrag,the maintenance contract
der Wartungsdienst,the maintenance service
der Großteil,the majority
die Freistellung,the making available
die Männerdomäne,the man’s world
das Management,the management
der Leiter,the manager
der Abwasserschacht,the manhole
der Hersteller,the manufacturer
die Fertigungstechnik,the manufacturing technology
die Marmoroptik,the marble-look
der Marker,the marker
die Marktstudie,the market study
die Marketingabteilung,the marketing department
die Werbestrategie,the marketing strategy
der Master,the master’s degree
die Angelegenheit,the matter
der Bürgermeister,the mayor
die Mahlzeit,the mealtime
die Maßnahme,the measure
das Mediendesign,the media design
die Medienbranche,the media industry
das Meeting,the meeting
die Besprechungsunterlagen,the meeting documents
das Mitglied,the member
die Pflegekraft,the member of nursing staff
die Speicherkarte,the memory card
die Betreuung,the mentoring
das Menü,the menu
die Metallindustrie,the metal industry
die Methode,the method
der Mikrozensus,the micro census
der Mikrokredit,the micro loan
die Mikrowelle,the microwave
die Mitte,the middle
der Migrationshintergrund,the migrant background
der Kilometerstand,the mileage
die Mindmap,the mind map
der Minijob,the mini job
der Mindesturlaub,the minimum leave
der Protokollführer,the minute keeper
das Missverständnis,the misunderstanding
die Handyzahlung,the mobile payment
das Mobiltelefon,the mobile telephone
die Veränderung,the modification
der Augenblick,the moment
die Stimmung,the mood
die Motivation,the motivation
die Autobahn,the motorway
das Müsli,the muesli
die Naturwissenschaft,the natural science
die Navigation,the navigation
die Navigationsfunktion,the navigation function
die Notwendigkeit,the necessity
die Verhandlungsbasis,the negotiating basis
die Verhandlung,the negotiation
der Nettobetrag,the net amount
der Nettoverdienst,the net earnings
das Nettogehalt,the net income
der Nettopreis,the net price
der Netzwerkanschluss,the network connection
die Neueinstellung,the new appointment
die Nachtschicht,the night shift
die Norm,the norm
der Nordwesten,the northwest
das Notebook,the notebook
das Notizbuch,the notepad
die Pinnwand,the notice board
die Kündigungsfrist,the notice period
die Neuheit,the novelty
die Gehminute,the number of minute’s walk
die Pflegeversicherung,the nursing insurance
die Berufsgruppe,the occupation group
die Berufskrankheit,the occupational illness
das Angebotsschreiben,the offer letter
das Altgerät,the old device
das Altenwohnheim,the old people’s home
die Jobbörse,the online job market
das Stellenportal,the online job portal
der Onlinebezahldienst,the online payment service
das Onlineportal,the online portal
der Internetauftritt,the online presence
die Onlinesuche,the online search
das Großraumbüro,the open-plan office
die Eröffnung,the opening
die Geschäftszeit,the opening times
die Bedienungsanleitung,the operating instructions
der Betrieb,the operation
der Befehl,the order
die Auftragsbestätigung,the order confirmation
das Bestellformular,the order form
die Auftragserteilung,the order placement
die Organisation,the organisation
die Organisationsaufgabe,the organisational task
die Orthopädie,the orthopaedics
der Außenseiter,the outsider
das Outsourcing,the outsourcing
der Overall,the overalls
die Überstundenregelung,the overtime regulation
die Übersicht,the overview
der Takt,the pace
der Karton,the package
der Abschnitt,the paragraph
der Sanitäter,the paramedic
die Elternzeit,the parental leave
die Teilzeitanstellung,the part-time position
das Partnerland,the partner country
die Partei,the party
die Patientenakte,the patient files
die Lohnerhöhung,the pay increase
die Zahlungsbedingung,the payment conditions
die Vorauszahlung,the payment in advance
die Ratenzahlung,the payment in instalments
die Zahlungserinnerung,the payment reminder
die Gehaltsabrechnung,the payslip
das PDF,the pdf
die Fußgängerzone,the pedestrian zone
die RV,the pension insurance
die Festanstellung,the permanent job
der Dauerzustand,the permanent state
der Sachbearbeiter,the person responsible
die Körperpflege,the personal hygiene
die Persönlichkeit,the personality
die Personalversammlung,the Personalversammlungen personal collection
die Perspektive,the perspective
das Benzin,the petrol
die Pharmaindustrie,the pharmaceutical industry
das Fotoalbum,the photo album
der Fotokopierer,the photo copier
das Piktogramm,the pictogram
das Rohr,the pipe
der Betreuungsplatz,the place in childcare
die Planungsphase,the planning phase
der Anlagenmechaniker,the plant mechanic
die Plattform,the platform
das Vergnügen,the pleasure
der Taschenrechner,the pocket calculator
der Besprechungspunkt,the point of discussion
die Höflichkeit,the politeness
das Porträtfoto,the portrait photo
die Stellung,the position
das Poster,the poster
der Posteraufhänger,the poster hanger
das Zusatzstudium,the postgraduate studies
das PPT,the ppt
das Lob,the praise
die Vorerkrankung,the pre-existing illness
das Vorurteil,the prejudice
die Präsenz,the presence
die Präsentation,the presentation
der Moderationskoffer,the presenter’s toolbox
die Presse,the press
der Druck,the pressure
das Vorjahr,the previous year
die Preisreduzierung,the price reduction
die Preisentwicklung,the price trend
die Primarschule,the primary school
das Prinzip,the principle
die Druckschrift,the printed medium
die Priorität,the priority
das Privatleben,the private life
die Wahrscheinlichkeit,the probability
der Vorgang,the procedure
die Produktvielfalt,the product diversity
die Produktion,the production
die Produktionskosten,the production costs
der Berufskraftfahrer,the professional driver
die Meisterwerkstatt,the professional workshop
der Steckbrief,the profile
die Gewinnspanne,the profit margin
die Prognose,the prognosis
das Projekt,the project
die Projektplanung,the project planning
die Projektvorstellung,the project presentation
der Beamer,the projector
das Versprechen,the promise
die Beförderung,the promotion
die Aufstiegschance,the promotion prospect
der Angebotspreis,the promotional price
die Aktionswoche,the promotional week
die Aufforderung,the prompt
der Nachweis,the proof
das Lektorat,the proofreading
der Schutz,the protection
der Arbeitsschutzschuh,the protective footwear
der Kopfschutz,the protective headgear
der Anbieter,the provider
die Bestimmung,the provision
der Puls,the pulse
die Einkaufsabteilung,the purchasing department
die Verfolgung,the pursuit
das QMS,the QMS
der QR-code,the QR code
die Qualitätssicherung,the quality assurance
das Qualitätsmanagement,the quality management
die Lebensqualität,the quality of life
der Qualitätsstandard,the quality standard
die Anzahl,the quantity
das Quartal,the quarter
die Quartalsaufstellung,the quarterly financial report
die Quote,the quote
die Angebotserstellung,the quote generation
die Ausstrahlung,the radiance
der Heizkörper,the radiator
die Gutscheinverlosung,the raffle draw
das Leistungsspektrum,the range of services
der Rap,the rap
die Seltenheit,the rarity
die Bewertung,the rating
die Rationalisierung,the rationalisation
die Reaktion,the reaction
die Leseecke,the reading corner
die Immobilienfirma,the real estate company
die Immobilienbranche,the real estate industry
die Realisierung,the realisation
der Zahlungseingang,the receipt of payment
die Rezeption,the reception
die Aufzeichnung,the recording
die Verringerung,the reduction
der Bezug,the reference
die Region,the region
die Regelung,the regulation
die Stärkung,the reinforcement
das Verhältnis,the relationship
der Rest,the remainder
der Resturlaub,the remaining leave
die Bemerkung,the remark
die Mahnung,the reminder letter
die Arbeitsvergütung,the remuneration for work carried out
die Umbauarbeit,the renovation work
die Neueröffnung,the reopening
die Reparaturwerkstatt,the repair workshop
der Bilanzbuchhalter,the report accountant
die Vertretung,the representation
der Vertreter,the representative
die Anfrage,the request
die Anforderung,the requirement
der Rettungsdienst,the rescue service
die Rettungskraft,the rescue team
das Resort,the resort
die Verantwortung,the responsibility
der Einzelhandel,the retail
der Rückblick,the retrospect
der Umsatz,the revenue
die Belohnung,the reward
das Risiko,the risk
die Sturzgefahr,the risk of falling
der Straßenbau,the road works
der Kalbsbraten,the roast veal
der Roboter,the robot
die Robotik,the robotics
die Zimmerkategorie,the room category
der Zimmerservice,the room service
die Route,the route
die Routenberechnung,the route calculation
die Routine,the routine
das Vorfeld,the run-up stage
der Laufschuh,the running shoe
die Schutzausrüstung,the safety equipment
der Schutzhelm,the safety helmet
die Sicherheitsvorschrift,the safety rule
die Lohnart,the salary type
der Verkauf,the sale
der Vertriebsweg,the sales channel
das Vertriebsmeeting,the sales meeting
das Verkaufsgespräch,the sales pitch
der Verkaufsbericht,the sales report
das Verkaufstalent,the sales talent
das Probefoto,the sample photo
die Sanitäranlage,the sanitary facility
die Sanitäreinrichtung,the sanitary installation
die Sanitärfirma,the sanitary service company
die Zufriedenheit,the satisfaction
das Sparbuch,the savings book
die Skala,the scale
die Skepsis,the scepticism
die Mittlere Reife,the school leaving certificate
das Rührei,the scrambled egg
die Leinwand,the screen
das Suchfeld,the search box
das Suchergebnis,the search result
das Suchsymbol,the search symbol
die Saison,the season
die Nebentätigkeit,the secondary employment
der Sekundarabschluss,the secondary qualification
die Sekundarschule,the secondary school
der Sekretär,the secretary
der Ausschnitt,the section
das Sicherheitsbedenken,the security concerns
die Sicherheitsfirma,the security firm
der Sicherheitsdienst,the security service
