deutsch,englisch
der Nachbar,the neighbour
die Nachbarin,the neighbour
die Natur,the nature
packen,to pack
die Postkarte,the postcard
die Reise,the journey
das Schiff,the ship
der Seehund,the seal
der Ski,the ski
der Strand,the beach
stressig,stressful
das Studium,the course of study
stundenlang,for hours
die Suppe,the soup
süß,sweet
das Tennis,the tennis
der Tourist,the tourist
unregelmäßig,infrequent
der Urlaub,the holiday
verdienen,to earn
warten,to wait
das Wetter,the weather
anziehen,to dress
der Anzug,the suit
beige,beige
bequem,comfortable
besser,better
besten,best
bestimmt,certainly
blau,blue
blöd,stupid
die Bluse,the blouse
braun,brown
bringen,to bring
denken,to think
der Einkaufsbummel,the shopping spree
eng,tight
euch,you
die Farbe,the colour
furchtbar,terrible
gefallen,to please
gegenseitig,mutual
gelb,yellow
genauso,equally
glauben,to believe
grau,grey
günstig,good value
das Hemd,the shirt
die Hose,the trousers
ihm,him
die Jacke,the jacket
die Jeans,the jeans
der Jogginganzug,the tracksuit
der Kassenbon,the receipt
das Kaufhaus,the department store
die Klamotten,the clothes
klasse,great
das Kleid,the dress
die Kleidung,the clothing
das Kleidungsstück,the item of clothing
lila,purple
der Mantel,the coat
meisten,most
die Mode,the fashion
das Modell,the model
die Mütze,the hat
online,online
die Ordnung,the order
das Paar,the pair
passen,to fit
positiv,positive
probieren,to try
der Prospekt,the prospect
der Pullover,the jumper
raten,to advise
der Rock,the skirt
der Schal,the scarf
der Schuh,the shoe
schwarz,black
sicher,secure
die Socke,the sock
der Sportschuh,the trainer
die Strickjacke,the cardigan
der Strumpf,the stocking
tragen,to wear
das T,the tshirt
typisch,typical
überhaupt,at all
umtauschen,to exchange
uns,us
vergessen,to forget
der Wintermantel,the winter coat
zurück,return
die Achtung,the caution
der April,the April
aufregen,to get excited
der August,the August
bauen,to build
der Baum,the tree
besuchen,to visit
bewölkt,cloudy
die Braut,the bride
der Dank,the Thanks
darüber,about
die Deutschlandkarte,the map of Germany
der Dezember,the December
eben,even
einladen,to invite
die Einladung,the invitation
einverstanden,agreed
das Eis,the ice cream
der Februar,the February
die Feier,the celebration
feiern,to celebrate
das Fest,the party
freuen,to be happy
froh,glad
der Frühling,the spring
fühlen,to feel
die Gartenparty,the garden party
der Geburtstag,the birthday
die Geburtstagstorte,the birthday cake
das Geschenk,the present
glücklich,happy
der Glückstag,the lucky day
der Grad,the degrees
hageln,hail
der Handschuh,the glove
der Hase,the rabbit
der Herbst,the autumn
die Himmelsrichtung,the compass point
die Hochzeit,the wedding
die Hochzeitsfeier,the wedding party
die Jahreszahl,the year
die Jahreszeit,the season
der Januar,the January
der Juli,the July
der Kalender,the calendar
lieben,to love
der Luftballon,the air balloon
lustig,funny
der Mai,the May
die Mama,the mum
minus,minus
mitbringen,to bring with
nass,wet
nebelig,foggy
der Norden,the north
der November,the November
nun,now
der Oktober,the October
das Oktoberfest,the Octoberfest
die Oma,the Grandma
der Osten,the east
das Osterei,the easter egg
das Osterfest,the Easter
der Osterhase,the easter bunny
das Ostern,the Easter
der Papa,the dad
räumen,to clear
reden,to talk
regnen,to rain
samstags,on saturdays
der Schatz,the treasure
scheinen,to shine
schenken,to gift
schlecht,bad
der Schnee,the snow
der Schneemann,the snowman
schneien,to snow
der Schokoladenkuchen,the chocolate cake
der Sekt,the sparking wine
der September,the September
der Sommer,the summer
sonnig,sunny
die Spezialität,the speciality
das Standesamt,the registry office
stellen,to set
der Süden,the south
tanzen,to dance
der Teller,the plate
die Torte,the cake
trocken,dry
unglücklich,unhappy
der Unglückstag,the unlucky day
warm,warm
das Weihnachten,the Christmas
der Weihnachtsbaum,the Christmas tree
die Weihnachtsfeier,the Christmas party
das Weihnachtsgeschenk,the Christmas present
der Weihnachtsmann,the Santa claus
das Westdeutschland,the West Germany
der Westen,the west
der Wetterbericht,the weather report
wieso,why
