German,English
der Konferenzraum,the conference room
der König,the king
der Kopierer,the copying machine
der Kratzer,the scratch
der Manager,the manager
der Maschinenbau,the engineering
der Milchzucker,the milk sugar
der Millionär,the millionaire
der Motor,the motor
der Motorradfahrer,the motocyclist
der Nährstoff,the nutrient
der Neuwagen,the new vehicle
der Oldtimer,the vintage car
der PC,the PC
der Personenschaden,the personal injury
der Pflegehelfer,the nursing assistant
der Posteingang,the inbox
der Quark,the quark
der Reifen,the tyre
der Reinigungsvertrag,the cleaning contract
der Sachbearbeiter,the administrative assistant
der Sachschaden,the property damage
der Sales Manager,the sales manager
der Schadensfall,the damage claim
der Scheinwerfer,the headlight
der Schläger,the bat
der Selbstständige,the self-employed person
der Sinn,the meaning
der Sportwagen,the sports car
der Sprachnachweis,the language certificate
der Steuerberater,the tax consultant
der Straßenrand,the roadside
der Straßenverkehr,the traffic
der Strom,the electricity
der Stromanbieter,the electricity provider
der Sturm,the storm
der Terminkalender,the appointment calendar
der Trend,the trend
der Umgang,the handling
der Unfall,the accident
der Urlaubstag,the paid leave
der Veganer,the vegan
der Verbrauch,the use
der Versicherungsberater,the insurance advisor
der Versicherungsschutz,the insurance cover
der Verzehr,the consumption
der Wasserhahn,the tap
der Wert,the value
der Zeitmangel,the lack of time
der Zeitpunkt,the point in time
der Zeitungsbericht,the report in the newspaper
der Zusatzstoff,the additives
die Abwicklung,the settlement
die Allergie,the allergy
die Anerkennung,the recognition
die Anlage,the system
die Annahme,the acceptance
die Anstellung,the employment
die Arbeitsstelle,the position
die Arbeitsweise,the working method
die Arbeitszeit,the working hours
die Assistenz,the assistance
die Aufteilung,the allocation
die Automarke,the car make
die Autoversicherung,the car insurance
die Bearbeitung,the processing
die Bedingung,the condition
die Beglaubigung,the certification
die Berufsbezeichnung,the job description
die Berufserfahrung,the job experience
die Berufstätigkeit,the professional activity
die Betriebswirtschaft,the business administration
die Bevölkerung,the population
die Bürozeit,the office hours
die Dienstleistung,the service
die Energiekosten,the energy costs
die Energieverschwendung,the waste of energy
die Enttäuschung,the disappointment
die Erklärung,the explanation
die Ernährung,the nutrition
die Erstellung,the creation
die Fähigkeit,the ability
die Fahrerseite,the driver's side
die Fantasie,the phantasy
die Festanstellung,the full-time position
die Formalität,the formality
die Formulierung,the wording
die Fortbildung,the further education
die Fotokopie,the photocopy
die Frisur,the hairdresser
die Geduld,the patience
die Gehaltsvorstellung,the desired salary
die Gemeinsamkeit,the common feature
die Geschäftsführung,the management
die Haftpflicht,the liability
die Haftpflichtversicherung,the liability insurance
die Handlung,the conduct
die Haselnuss,the hazelnut
die Heizkosten,the heating costs
die Herausforderung,the challenge
die Hülsenfrucht,the pulse
die Institution,the institution
die Kaskoversicherung,the hull insurance
die Kommunikationsstärke,the strong communication skills
die Kontaktdaten,the contact details
die Kopie,the copy
die Laune,the mood
die Massentierhaltung,the livestock farming
die Mentalität,the mentality
die Million,the million
die Motorhaube,the bonnet
die Nuss,the nut
die Parklücke,the parking space
die Pflegekraft,the carer
die Privatnummer,the private number
die Probezeit,the probationary period
die Qualifikation,the qualification
die Regulierung,the regulation
die Reihe,the row
die Reinigungsfirma,the cleaning company
die Rückscheibe,the rear window
die Speise,the dish
die Stellenanzeige,the job advertisement
die Stoßstange,the bumper
die Stromkosten,the electricity costs
die Studie,the study
die Teamfähigkeit,the ability to work in a team
die Teilkaskoversicherung,the partial coverage insurance
die Telekommunikation,the telecommunication
die Tiefkühlpizza,the frozen pizza
die Überschwemmung,the flood
die Übersetzung,the translation
die Überstunde,the overtime
die Umschulung,the re-training
die Unfallgefahr,the risk of accident
die Vergütung,the remuneration
die Verstärkung,the enhancement
die Vertragsnummer,the contract number
die Vollkaskoversicherung,the full comprehensive insurance
die Wärme,the warmth
die Weise,the manner
die Weiterleitung,the forwarding
die Windschutzscheibe,the windscreen
die Wurst,the sausage
die Zusammenarbeit,the cooperation
die Zusatzqualifikation,the additional qualifications
die Zusatzversicherung,the additional insurance
die Zuverlässigkeit,the reliability
dran sein,to be for it
drinnen,inside
durchschnittlich,average
eigenverantwortlich,independent
einbrechen,to break in
eingehen,to enter
einparken,to pull in
einreichen,to submit
einschreiben,to inscribe
einseitig,one-sided
empfangen,to receive
englischsprachig,in English
entnehmen,to take from
enttäuschen,to disappoint
erkennen,to recognise
erkundigen,to enquire
färben,to colour
festlegen,to determine
fett,fat
finanziell,financial
fix,fixed
fleischfrei,meat-free
fleischlos,vegetarian
fließend,fluent
fordern,to demand
förmlich,formal
frustriert,frustrated
furchtbar,terrible
garantieren,to guarantee
geduldig,patient
gewährleisten,to ensure
gleichzeitig,at the same time
glutenfrei,gluten-free
grundsätzlich,basically
häufig,often
herkommen,to come from
hierher,here
hilfsbereit,ready to help
indem,by
individuell,individual
industriell,industrial
insofern,provided
intern,internal
inzwischen,meanwhile
irgendwelche,any
irgendwer,anyone
kippen,to tilt
kommunikativ,communicative
korrekt,correct
krachen,to crash
kulinarisch,culinary
kümmern,to take care of
laktosefrei,lactose-free
langfristig,long-term
leiden,to suffer
leistungsgerecht,performance-based
leiten,to lead
lenken,to steer
mehrmals,multiple times
meistern,to master
mitdenken,to follow a thought
mittelständisch,middle-class
moralisch,morally
nachdem,after
nachdenken,to think about
nachdenklich,thoughtful
offen,open
optimistisch,optimistic
parken,to park
präsentieren,to present
problemlos,unproblematic
PS,HP
quietschen,to screech
rasieren,to shave
reduzieren,to reduce
regeln,to control
regulieren,to regulate
rückwärts,backwards
rutschen,to slide
schneiden,to cut
schwingen,to swing
seitdem,since then
senden,to broadcast
soweit,so far as
spezialisieren,to specialise
stinksauer,furious
tierisch,animalistic
traditionsreich,steeped in tradition
tropfen,to drip
übereinstimmen,to correspond
übergeben,to be sick
überglücklich,overjoyed
überraschen,to surprise
übersetzen,to translate
überzeugen,to convince
umfallen,to fall over
umso,all the
unbefristet,indefinite
ungeduldig,impatient
unnötig,unnecessary
vegan,vegan
verabreden,to arrange
vereinbar,compatible
verletzen,to injure
vermissen,to miss
verschwenden,to waste
versehentlich,accidental
versichern,to insure
versorgen,to provide for
vertragen,to tolerate
verursachen,to cause
verurteilen,to judge
verzichten,to avoid
vorbeigehen,to walk past
vorschreiben,to stipulate
vorsichtig,careful
wahr,true
wegfahren,to drive away
weitergehen,to continue
weiterhelfen,to help out
wohlfühlen,to feel comfortable
zaubern,to conjure
zeitlich,on time
zufällig,incidental
zügig,swift
zulassen,to allow
zumachen,to close
zunehmen,to gain weight
zusammenarbeiten,to work together
zusammenstellen,to put together
zusammenstoßen,to collide
zusätzlich,additional
