deutsch,englisch
die Zusatzqualifikation,the additional qualifications
die Zuverlässigkeit,the reliability
abdrehen,to change course
abheften,to file away
allerdings,however
anmachen,to turn on
ansehen,to look at
aufdrehen,to open
aufmachen,to open
ausschalten,to turn off
ausschlafen,to sleep in
das Besprechungszimmer,the meeting room
der Büroalltag,the office life
der,the Büroassistenten
der Büroraum,the office space
die Dienstleistung,the service
drinnen,inside
einschalten,to turn on
die Energiekosten,the energy costs
die Energieverschwendung,the waste of energy
der,the workman
die Heizkosten,the heating costs
indem,by
kippen,to tilt
der,the king
der Kopierer,the copying machine
langfristig,long
mehrmals,multiple times
die Million,the million
mitdenken,to follow a thought
offen,open
die Privatnummer,the private number
rasieren,to shave
die Reinigungsfirma,the cleaning company
der Reinigungsvertrag,the cleaning contract
senken,to reduce
stinksauer,furious
der Strom,the electricity
der Stromanbieter,the electricity provider
die Stromkosten,the electricity costs
tropfen,to drip
übergeben,to be sick
unnötig,unnecessary
der Verbrauch,the use
verschwenden,to waste
das Vertragsende,the contract end
die Vertragsnummer,the contract number
die Wärme,the warmth
der Wasserhahn,the tap
die Weise,the manner
zudrehen,to turn off
zumachen,to close
die Zusammenarbeit,the cooperation
zusammenarbeiten,to work together
abnehmen,to lose weight
achten,to be careful
die Allergie,the allergy
allergisch,allergic
der Anbau,the cultivation
angewöhnen,to get used to
auseinandersetzen,to discuss
ausgewogen,balanced
ausprobieren,to try
bedenklich,questionable
die Bedingung,the condition
behaupten,to claim
die Berufstätigkeit,the professional activity
die Bevölkerung,the population
bewusst,conscious
bio,organic
das Bioprodukt,the organic produce
bloß,purely
der,the diabetic
der Döner,the kebab
durchschnittlich,average
das Einkommen,the income
einseitig,one
das Eiweiß,the protein
erkennen,to recognise
die Ernährung,the nutrition
der,the eater
das Fertiggericht,the ready meal
fett,fat
fix,quick
fleischfrei,meat
fleischlos,vegetarian
der Freundeskreis,the circle of friends
der Frust,the frustration
furchtbar,terrible
der Gang,the course
der Geschmack,the taste
das Getreide,the grain
glutenfrei,gluten
grundsätzlich,basically
der Hartweizen,the durum wheat
die Haselnuss,the hazelnut
der Hauptgrund,the main reason
die Hülsenfrucht,the pulse
industriell,industrial
die Institution,the institution
irgendwelche,any
irgendwer,anyone
das Kochbuch,the cookery book
kulinarisch,culinary
laktosefrei,lactose
die Laune,the mood
leiden,to suffer
die Massentierhaltung,the livestock farming
der Milchzucker,the milk sugar
moralisch,morally
der Nährstoff,the nutrient
das Nahrungsmittel,the foodstuff
nebenbei,incidentally
die Nuss,the nut
präsentieren,to present
problemlos,unproblematic
der Quark,the quark
reduzieren,to reduce
die Studie,the study
die Tiefkühlpizza,the frozen pizza
tierisch,animalistic
der Trend,the trend
überzeugen,to convince
vegan,vegan
der,the vegan
vereinbar,compatible
versorgen,to provide for
vertragen,to tolerate
der Verzehr,the consumption
verzichten,to avoid
vorbeigehen,to walk past
der Wert,the value
die Wurst,the sausage
der Zeitmangel,the lack of time
der Zeitungsbericht,the report in the newspaper
zufällig,incidentally
zunehmen,to gain weight
der Zusatzstoff,the additives
abdecken,to cover
absichtlich,intentional
anfahren,to bump into
ärztlich,medical
aufkommen,to pay
ausparken,to reverse out
der Außenspiegel,the wing mirror
der,the car driver
die Automarke,the car make
das Autoteil,the car part
die Autoversicherung,the car insurance
das Benzin,the petrol
beschädigen,to damage
betrunken,drunk
der Blinker,the indicator
bremsen,to brake
das Dach,the roof
der Diebstahl,the theft
das Dorf,the village
einbrechen,to break in
der,the burglar
der Einbruch,the burglary
einparken,to pull in
die Fahrerseite,the driver's side
der,the volunteer
frustriert,frustrated
der Gebrauchtwagen,the used vehicle
die Haftpflicht,the liability
die Haftpflichtversicherung,the liability insurance
der Hagel,the hail
der Hügel,the hill
die Kaskoversicherung,the hull insurance
der Kilometer,the kilometre
der Kofferraum,the car boot
korrekt,correct
krachen,to crash
der Kratzer,the scratch
lenken,to steer
lohnen,to pay
der Motor,the motor
die Motorhaube,the bonnet
der,motocyclist
nachdenken,to think about
der Neuwagen,the new vehicle
das Nummernschild,the number plate
der Oldtimer,the vintage car
optimistisch,optimistic
parken,to park
die Parklücke,the parking space
der Personenschaden,the personal injury
PS,HP
quietschen,to screech
regulieren,to regulate
die Regulierung,the regulation
der Reifen,the tyre
das Rücklicht,the tail light
die Rückscheibe,the rear window
rückwärts,backwards
rutschen,to slide
der Sachschaden,the property damage
der Schadensfall,the damage claim
die Scheibe,the windscreen
der Scheinwerfer,the headlight
der Schläger,the bat
schwingen,to swing
der Sinn,the meaning
der Sportwagen,the sports car
die Stoßstange,the bumper
der Straßenrand,the roadside
der Straßenverkehr,the traffic
der Sturm,the storm
das,sport utility vehicle
die Teilkaskoversicherung,the partial coverage insurance
überraschen,to surprise
die Überschwemmung,the flood
umfallen,to fall over
umso,all the
der Unfall,the accident
die Unfallgefahr,the risk of accident
verletzen,to injure
versehentlich,accidental
versichern,to insure
der,the Versicherungsberater
der Versicherungsschutz,the insurance cover
verursachen,to cause
die Vollkaskoversicherung,the full comprehensive insurance
vorschreiben,to stipulate
vorsichtig,careful
wegfahren,to drive away
die Windschutzscheibe,the windscreen
zulassen,to allow
zusammenstoßen,to collide
die Zusatzversicherung,the additional insurance
