deutsch,englisch
die Berufsfachschule,the vocational college
berufssprachlich,business language
der Berufstyp,the type of occupation
die Beschäftigung,the employment
beschließen,to resolve
bestehen,to persist
betreuen,to mentor
betten,to embed
der,the report accountant
der Bildungsabschluss,the educational level
die Branchenkenntnis,the industry knowledge
die Buchung,the booking
die Bundesagentur für Arbeit,the Federal Employment Agency
derzeitig,current
diagnostisch,diagnostic
diesbezüglich,in this regard
die Druckschrift,the printed medium
der Eingriff,the intervention
einleiten,to initiate
erbauen,to construct
erwünscht,desired
die Facharztpraxis,the specialist medical practice
die Familientradition,the family tradition
die Festanstellung,the permanent job
feststellen,to determine
fortan,from now on
die Fortbildungsakademie,the training academy
das Fremdenzimmer,the guest room
der Frühstücksablauf,the breakfast times
die Frühstückspension,the bed and breakfast
frühzeitig,premature
fundiert,substantiated
das Gastgewerbe,the hospitality industry
gelegentlich,occasionally
der Geschäftsablauf,the course of business
das Gesundheitszentrum,the health centre
der Gesundheitszustand,the state of health
die Grundbildung,the basic education
die Grundpflege,the basic care
die Handelssprache,the commercial language
hauseigen,in
die Internetbewerbung,the internet job application
das Internetportal,the internet portal
jetzig,present
die Jobbörse,the online job market
die Kompetenz,the competency
koordinieren,to coordinate
die Körperpflege,the personal hygiene
der Kredit,the loan
die Kurzzeitpflege,the short
die Maßnahme,the measure
das Messehotel,the conference hotel
der Mikrokredit,the micro loan
nachlesen,to read up on
der,the tailor
die Nähmaschine,the sewing machine
die Nahrungsaufnahme,the food intake
das Onlineportal,the online portal
operativ,operational
die Organisationsaufgabe,the organisational task
die Pension,the guesthouse
der,the care
der Pflegedienst,the care service
das Pflegeheim,the care home
die Pflegemaßnahme,the care measure
das Porträtfoto,the portrait photo
die Primarschule,the primary school
reibungslos,without a hitch
die Reinigungskraft,the cleaner
das Resort,the resort
der Schichtdienst,the shift work
die Schneiderei,the tailor’s
schulisch,educational
die Sekundarschule,the secondary school
selbstständig,independent
sowie,just as
die Sprachförderung,the language development
die Sprachkenntnis,the language skill
staatlich,state
der Steckbrief,the profile
die Stellenausschreibung,the job advertisement
der Stellenmarkt,the job market
das Stellenportal,the online job portal
täglich,daily
therapeutisch,therapeutic
umbenennen,to rename
umsiedeln,to relocate
der Umstand,the circumstance
unliniert,unlined
die Veränderung,the modification
die Verfolgung,the pursuit
vergrößern,to enlarge
verkürzen,to shorten
die Verwaltungsaufgabe,the administrative task
voraussetzen,to require
vorwärtskommen,to make progress
wegschicken,to send away
weiterführen,to continue with
der Wellnessbereich,the wellness area
der Weltkrieg,the world war
wesentlich,significant
das Wohnheim,the hostel
das Zimmermädchen,the maid
der Zimmerservice,the room service
zudem,moreover
abarbeiten,to work through
der Ablauf,the process
abräumen,to clear up
die Aktion,the special offer
alleinerziehend,single
anpflanzen,to plant
anschließend,subsequent
der,the employee
der Arbeitsablauf,the workflow
die Arbeitsbedingung,the working condition
das Arbeitspensum,the workload
der Arbeitsschritt,the work stage
die Aufstiegschance,the promotion prospect
der Ausdruck,the expression
aussagen,to state
der Außentermin,the external appointment
der Beitrag,the contribution
das Betreuungsangebot,the care offer
der Betreuungsplatz,the place in childcare
der Betriebskindergarten,the company nursery
das Betriebsklima,the working atmosphere
das Bewerbungsgespräch,the job interview
bewerten,to evaluate
bezeichnen,to designate
der Blog,the blog
der Druck,the pressure
der Eindruck,the impression
enorm,enormous
die Erreichbarkeit,the contactability
erstellen,to create
der,the youth care worker
familienfreundlich,family
freiberuflich,freelance
die Frühschicht,the early shift
der Frühstücksraum,the breakfast room
fürchten,to fear
die Ganztagsschule,the full
geeignet,suitable
gelaunt,in a
gering,low
die Gleitzeit,the flexible working hours
die Grundlage,the basis
heutig,contemporary
der Hut,the hat
insbesondere,especially
die Kernzeit,the core working hours
die Kinderbetreuung,the childcare
die Kleinigkeit,the small detail
kriegen,to get
kritisieren,to criticise
das Kuscheltier,the stuffed animal
der,the Lageristen
langweilen,to be bored
leisten,to provide
das Lieblingsstofftier,the favourite stuffed animal
der Link,the link
das Lob,the praise
logisch,logical
die Lohnerhöhung,the pay increase
die Mandel,the almond
die Maschine,the machine
mitbestimmen,to participate
monoton,monotonous
die Nachtschicht,the night shift
notwendig,necessary
nützlich,useful
die Nutzung,the use
ordentlich,tidy
organisatorisch,organisational
parallel,parallel
passend,appropriate
platt,flat
posten,to post
die Priorität,the priority
rausschmeißen,to chuck out
die Region,the region
registrieren,to register
regulär,regular
die Routine,the routine
sachlich,objective
die Schicht,the shift
die Schichtarbeit,the shift work
schildern,to portray
die Schürze,the apron
die Schwierigkeit,the difficulty
die Skala,the scale
die Sozialleistung,the social benefit
die Stimmung,the mood
die Tagesmutter,the child minder
die Tätigkeit,the activity
der Tod,the death
überfordert,overwhelmed
überleben,to survive
überwachen,to observe
umsehen,to look around
umsonst,for nothing
unterfordert,not challenged enough
untersuchen,to examine
unüberlegt,rash
unwichtig,unimportant
die Unzufriedenheit,the dissatisfaction
die Vereinbarkeit,the compatibility
das Verhältnis,the relationship
verhandeln,to negotiate
die Verhandlung,the negotiation
verschenken,to gift
vertraglich,contractual
vervollständigen,to complete
vorgehen,to approach
die Wechselschicht,the alternate shift
weitermachen,to continue
die Zufriedenheit,the satisfaction
zunächst,first
der Zwilling,the twin
abbauen,to break down
abhalten,to prevent
abmontieren,to dissemble
die Abreise,the departure
der Abwasserschacht,the manhole
der Alaskaseelachs,the alaska pollack
anbringen,to affix
die Anreise,the arrival
anreisen,to arrive
anschrauben,to screw on
der Arbeitsabschnitt,the work section
die Arbeitsanweisung,the work instruction
der Arbeitsbereich,the work area
der Arbeitsprozess,the working process
die Artischocke,the artichoke
der Arztbesuch,the visit to the doctor
die Aufforderung,the prompt
auffüllen,to fill up
aufstemmen,to prise open
die Auftragsbestätigung,the order confirmation
die Aufzeichnung,the recording
auslegen,to interpret
ausleihen,to lend
ausrechnen,to calculate
das Baubüro,the site office
der Bauplan,the blueprint
der Beifahrersitz,the front passenger seat
die Beilage,the supplement
die Bemerkung,the remark
die Bequemlichkeit,the comfort
betanken,refuelling
der Beton,the concrete
bevorzugen,to favour
beziehen,to obtain
der Bohrhammer,the drill hammer
die Buchungsbestätigung,the Buchungsbestätigungen booking confirmation
die Buchungsnummer,the booking number
checken,to check
der Dachboden,the attic
dennoch,however
derartig,of its type
die Dienstleistung,the service
dokumentieren,to document
die Dropbox,the dropbox
durchgehen,to go through
durchschauen,to look through
der Eingang,the inbox
einpflegen,to update
das Entrecôte,the entrecôte steak
erkranken,to fall ill
erreichbar,contactable
die Etage,the floor
extern,external
der Fahrersitz,the driver’s seat
die Fahrgemeinschaft,the car sharing
festgehalten,held tight
der,company client
der Firmentransporter,the company transporter
die Flugverbindung,the connection
föhnen,to hair dry
freinehmen,to take leave
fußläufig,within walking distance
das Gasrohr,the gas pipe
der Gasthof,the guest house
gegebenenfalls,as applicable
die Geschäftsreise,the business trip
das Gewerbegebiet,the industrial estate
die Halterung,the bracket
handeln,to trade
die Hauspost,the internal mail
der Heizkörper,the radiator
der Heizungsanschluss,the heating connection
das Heizungsrohr,the heating pipe
die Heizungstherme,the heater
das Hotelbuchungsportal,the hotel booking portal
die Hotelkategorie,the hotel category
der Innenhof,the inner courtyard
die Inventur,the inventory
jeweilig,respective
die Kabeltrommel,the cable reel
der Kalbsbraten,the roast veal
der Karton,the package
die Kiste,the box
kleinschrittig,in small steps
die Klimaanlage,the air conditioning system
komplex,complex
die Kundenunterlagen,the customer records
die Kurpackung,the cure package
kurzfristig,short
das Lamm,the lamb
das Lammcarré,the lammcarré
lehnen,to lean
die Leitung,the line
die Lieferadresse,the delivery address
der Lieferschein,the delivery slip
der Lieferwagen,the delivery van
das Lüftungsrohr,the ventilation pipe
das Meeting,the meeting
der Mietautoservice,the car rental service
mittellang,mid
die Montageanleitung,the assembly instruction
montieren,to assemble
die Notwendigkeit,the necessity
oftmals,oftentimes
die Onlinesuche,the online search
die Organisation,the organisation
die Präsentation,the presentation
der Probedurchlauf,the dry
der Probelauf,the test run
die Qualitätssicherung,the quality assurance
rausfahren,to drive out
raussuchen,to choose
die Reaktion,the reaction
die Reinigungsperson,the member of cleaning staff
die Reiseroute,the itinerary
restlich,remaining
die Richtlinie,the guideline
das Rind,the beef
die Rohrdämmung,the tubing insulation
runterfahren,to turn off
runterladen,to download
der Schichtwechsel,the shift change
der Schlitz,the slit
der Schnitt,the cut
schrauben,to screw
die Schulung,the training
der Seifenspender,the soap dispenser
die Sicherungskopie,the backup copy
spontan,spontaneous
der Stick,the usb stick
das Suchergebnis,the search result
das System,the system
die Tagessuppe,the soup of the day
die Tagung,the convention
der Takt,the pace
die Therme,the spa
das Toilettenpapier,the toilet paper
unangenehm,unpleasant
unpassend,unsuitable
die Verbindlichkeit,the liability
das Verbindungsstück,the connecting piece
verneinen,to deny
verschließen,to seal
der,the representative
der,the foreman
die Vorgabe,the specification
das Vorgehen,the approach
vorlegen,to provide
das Waschbecken,the sink
der Wäschereiservice,the laundry service
das Wasserrohr,the water pipe
die Wegbeschreibung,the description of the route
wischen,to wipe
das WLAN,the wifi
der Zementsack,the cement sack
die Zimmerkategorie,the room category
zusenden,to submit
die Zwischenzeit,the interim period
die Abbildung,the illustration
der Aufhänger,the trailer
ausführlich,in
der,the exhibitor
das Baddesign,the bathroom design
der Bau,the construction
bedenken,to consider
begleiten,to accompany
beruhigen,to calm
beschäftigen,to occupy
besorgen,to provide
die Besorgung,the provision
der,the visitor
betragen,to amount to
das Datenblatt,the data sheet
derzeit,currently
dreijährig,three
durchfahren,to pass through
ebenfalls,likewise
die Eigenschaft,the characteristic
die Einkaufsabteilung,the purchasing department
die Einzelheit,the detail
energieeffizient,energy
erläutern,to clarify
die Erlebniswelt,the theme park
erneuerbar,renewable
erstaunlich,astonishing
erweitern,to expand
die Fachmesse,the trade fair
der Flyer,the flyer
der Geschäftsbrief,the business letter
gezielt,targeted
das Give,the give
die Handtasche,the handbag
hauptsächlich,mainly
der Heimweg,the way home
die Heizungsanlage,the heating unit
die Höhe,the height
die Industrieanlage,the industrial plant
die Kappe,the cap
die Klimatechnik,the air conditioning technology
der Kongress,the congress
konkurrenzfähig,competitive
Kontakte knüpfen,to make contacts
das Kundengespräch,the customer meeting
die Leistungsschau,the exhibition
die Lieferzeit,the delivery time
das Login,the log
das Maß,the extent
die Messe,the trade fair
das Messegelände,the trade fair grounds
der Messestand,the trade fair stand
die Mitte,the middle
die Mühe; sich Mühe geben,the effort; to make an effort
die Neuheit,the novelty
der Nordwesten,the northwest
orientieren,to orient
das Partnerland,the partner country
das PDF,the pdf
platzsparend,space
das Poster,the poster
der Posteraufhänger,the poster hanger
das PPT,the ppt
die Präsenz,the presence
premium,premium
der Prospektständer,the brochure rack
die Saison,the season
die Sanitäranlage,the sanitary facility
die Sanitäreinrichtung,the sanitary installation
schiefgehen,to go wrong
das Silikon,the silicone
der Small Talk,the small talk
sodass,so that
die Sommersaison,the summer season
das Sortiment,the assortment
der Ständer,the stand
der Sticker,the sticker
das Stoffmuster,the fabric pattern
die Übersicht,the overview
der Veranstalter,the event organiser
die Vereinbarung,the agreement
das Vergnügen,the pleasure
das Verkaufsgespräch,the sales pitch
vertreten,to represent
die Visitenkarte,the business card
die Wartung,the maintenance
der Wartungsvertrag,the maintenance contract
weltgrößte,world’s biggest
die Weltleitmesse,the world
der Werbeslogan,the advertising slogan
wettbewerbsfähig,competitive
die Zahlungsbedingung,the payment conditions
der Zentimeter,the centimetre
zentral,central
zusammenfassen,to summarise
das Altgerät,the old device
die Anfrage,the request
das Angebotsschreiben,the offer letter
der Anhang,the attachment
anlässlich,on the occasion of
die Ansicht,the view
die Anzahl,the quantity
der Apothekerschrank,the chemist’s cupboard
die Arbeitsplatte,the work surface
der Atlantik,the atlantic
der Aufpreis,the surcharge
die Auftragserteilung,the order placement
die Ausgabe,the issue
ausschließlich,exclusively
der Ausschnitt,the section
das Autohaus,the car showroom
bankrott,bankrupt
binnen,within
das Budget,the budget
das Cerankochfeld,the ceramic hob
cif,cif
die Dunstabzugshaube,the extractor hood
der Edelstahl,the stainless steel
die Edelstahleinbauspüle,the stainless steel in
die Eilübersetzung,the urgent translation
der Eilzuschlag,the urgency fee
der Einbauherd,the built
die Einverständniserklärung,the Einverständniserklärungen declaration of consent
das Elektrogerät,the electronic device
die Energieeffizienzklasse,the energy efficiency class
erfüllen,to fulfil
der Fachtext,the specialist text
der,the bicycle dealer
der Fahrzeugbrief,the vehicle registration document
das Firmengelände,the company property
fob,fob
die Front,the front
frühestens,at the earliest
gängig,common
die Garantie,the guarantee
gelten,to apply
der Gesamtpreis,the total price
die Geschäftszeit,the opening times
glänzend,shiny
der Griff,the handle
der Hängeeckschrank,the hanging corner cabinet
der Hängeschrank,the hanging cabinet
der Herdumbauschrank,the cupboard enclosing oven
höchstens,at most
das Informationsblatt,the information sheet
der Kilometerstand,the mileage
der Kindersitz,the children’s seat
die Kondition,the condition
die Küchenzeile,the kitchen unit
die Kundenbewertung,the customer rating
die Landesgrenze,the country border
der Laufschuh,the running shoe
lauten,to sound
die Lieferkosten,the delivery costs
die Marmoroptik,the marble
die Mehrwertsteuer,the value added tax
mitteilen,to communicate
die MwSt,the VAT
netto,net
der Nettopreis,the net price
niedrig,low
die Operation,the operation
perlmuttfarben,pearly
die Personalversammlung,the Personalversammlungen personal collection
die Plattform,the platform
die Preisreduzierung,the price reduction
die Produktionskosten,the production costs
der Rabatt,the discount
die Ratenzahlung,the payment in instalments
der Rest,the remainder
das Risiko,the risk
die Selbstauskunft,the self
das Set,the set
das Skonto,the discount
der Sonderwunsch,the special request
der Spülenumbauschrank,the cupboard enclosing sink
die Tageszeit,the time of day
das Transportschiff,the transport ship
der Übersetzerdienst,the translation service
die Umbauarbeit,the renovation work
unfallfrei,without accident
ungenau,inaccurate
der Unterschrank,the lower cabinet
die Verhandlungsbasis,the negotiating basis
das Verhandlungsgespräch,the negotiation
verschicken,to despatch
verschiffen,to ship
verschmutzt,dirty
die Vorauszahlung,the payment in advance
die Vorerkrankung,the pre
der Wagen,the vehicle
wählbar,selectable
das Werk,the factory
die Zeile,the line
die Zeitdauer,the duration
zeitgleich,at the same time
zerkratzt,scratched
die Zuordnung,the allocation
zutreffen,to be applicable
abbuchen,to deduct
das Achtel,the eighth
die Aktionswoche,the promotional week
der Angebotspreis,the promotional price
anschaffen,to acquire
anstellen,to employ
die Artikelbezeichnung,the article description
aufgeben,to give up
aufstellen,to arrange
der Augenblick,the moment
die Außenbeleuchtung,the external lighting
die Barzahlung,the cash payment
die Baumwolle,the cotton
der,existing customer
das Bestellformular,the order form
betrachten,to regard
die Bezeichnung,the description
der Bezug,the reference
bislang,until now
der Bücherflohmarkt,the book flea market
die Bücherkiste,the book box
das Bücherregal,the bookshelf
der Bücherschrank,the book cupboard
cremeweiß,cream
dahin,there
das Darlehen,the loan
das Design,the design
das Drittel,the third
dunkelblau,dark blue
dunkelgrau,dark green
eh,huh
einholen,to gather
eintragen,to enter
der Einzelpreis,the unit price
die Elternzeit,the parental leave
erfragen,to inquire
ergeben,to yield
fällig,due
der Farbakzent,the touch of colour
fertigmachen,to make ready
das Festgeld,the fixed deposit
frühlingsgrün,spring green
gegenstandslos,devoid of purpose
der Gesamtbetrag,the total amount
die Gesamtsumme,the sum total
die Grünpflanze,the green plant
die Handyzahlung,the mobile payment
hellgrau,light green
hervorragend,excellent
hinstellen,to place
hinterlassen,to leave behind
die Innenbeleuchtung,the internal lighting
das Jahresende,the end of the year
der Kaffeevollautomat,the coffee machine
die Kartenzahlung,the card payment
das Kissen,the cushion
der Kissenbezug,the cushion cover
klären,to clarify
klarkommen,to manage
der Lagerraum,the storage room
die Lastschrift,the direct debit
die Leseecke,the reading corner
das Leuchtmittel,the lamp
machbar,do
die Mahnung,the reminder letter
die Mikrowelle,the microwave
das Missverständnis,the misunderstanding
mitgestalten,to help shape
der Onlinebezahldienst,the online payment service
die Quote,the quote
reißen,to rip
relevant,relevant
renovieren,to renovate
der Servicebereich,the service area
das Sicherheitsbedenken,the security concerns
sonnengelb,sunshine yellow
das Sparbuch,the savings book
die Stückzahl,the item no.
der Taschenrechner,the pocket calculator
übrig,remaining
unmodern,out of fashion
verfügbar,available
verfügen,to dispose
der Versandhandel,the mail order business
die Vertretung,the representation
volljährig,of age
vorkommen,to occur
vorlesen,to read aloud
die Wartezeit,the waiting time
wenden an,to turn to
wirtschaften,to economise
der Zahlungseingang,the receipt of payment
die Zahlungserinnerung,the payment reminder
zurückrufen,to call back
zuvor,before
zweiteilig,in two parts
absehen,to foresee
die Administration,the administration
die Akte,the file
akzeptabel,acceptable
der Anbieter,the provider
die Anforderung,the requirement
die Angelegenheit,the matter
das Audit,the audit
aufstocken,to increase
die Aufstockung,the accumulation of capital
auftreten,to occur
äußern,to express
ausweichen,to avoid
die Auswirkung,the effect
die Automobilherstellung,the automotive manufacturing
bedauern,to regret
beheben,to remedy
der Beschwerdebrief,the letter of complaint
beseitigen,to eliminate
der Beweis,the evidence
die Bewertung,the rating
die Chance,the chance
der Clou,the trick
darlegen,to present
definieren,to define
DIN,DIN
durchhalten,to persevere
durchlaufen,to go through
die Einhaltung,the compliance
einmalig,one
exzellent,excellent
das Flachbild,the bas
die Folge,the consequence
gekocht,cooked
genormt,standardised
gepresst,pressed
gerecht,fair
geschäftlich,commercial
geschehen,happened
die Gesellschaft,the society
der Gott,the god
gratis,free
die Güte; Ach du meine Güte!,the goodness; oh my goodness!
gutmachen,to make it up
HD,HD
die Höflichkeit,the politeness
die Innovation,the innovation
das Institut,the institute
die Internetseite,the internet page
ISO,ISO
Standardization),for Standardization)
jedoch,however
die Kälte,the cold
das Kantinenpersonal,the canteen staff
das Konfliktgespräch,the conflict discussion
das Konfliktverhalten,the conflict behaviour
konsequent,consistent
die Konsequenz,the consequence
konstruktiv,constructive
kontinuierlich,continually
das Konzentrat,the concentrate
die Kritik,the critic
der KVP,the cip
Verbesserungsprozess),process)
die LED,the LED
leidig,tiresome
die Lieferschwierigkeit,the delivery difficulty
das Management,the management
die Methode,the method
das Mitglied,the member
momentan,at the moment
das Müsli,the muesli
nachvollziehen,to understand
der Nachweis,the proof
negativ,negative
die Neueinstellung,the new appointment
die Norm,the norm
die Normung,the standardisation
die Partei,the party
die Patientenakte,the patient files
der Personalausgang,the staff exit
die Pflegekraft,the member of nursing staff
der Prozess,the trial
das QMS,the QMS
das Qualitätsmanagement,the quality management
der Qualitätsstandard,the quality standard
die Rationalisierung,the rationalisation
real,actual
die Rede,the speech
das Rührei,the scrambled egg
das Saftkonzentrat,the juice concentrate
der Schichtplan,the shift plan
die Schulungsmaßnahme,the training measure
schwach,weak
der Spender,the donor
das Spiegelei,the fried egg
der Standard,the standard
der Start,the start
die Stationsschwester,the ward nurse
das Streitgespräch,the debate
tolerant,tolerant
trotz,despite
der Tunnel,the tunnel
das TV,the TV
überarbeiten,to re
überprüfen,to check
die Unannehmlichkeit,the inconvenience
ungerecht,unfair
untereinander,among each other
unterziehen,to undergo
unverzüglich,immediate
der VDA,the VDA
verallgemeinern,to generalise
veraltet,outdated
die Verbesserung,the improvement
versetzen,to transfer
die Verständigung,the understanding
verzeihen,to forgive
vollkommen,completely
das Vordach,the awning
der Vorfall,the incident
die Vorstandssitzung,the board meeting
der Vorwurf,the accusation
weiterempfehlen,to recommend
werben,to advertise
die Werbung,the advertisement
der Witz,the joke
die Wurstplatte,the cold meat platter
zertifiziert,certified
die Zertifizierung,the certification
das Zubehör,the supplies
zweifeln,to doubt
zwingen,to force
abfeiern,to celebrate
abstimmen,to vote
abwesend,absent
die Agenda,the agenda
die Altersgruppe,the age group
die Altersklasse,the age bracket
die Ankündigung,the announcement
anwesend,present
die Aufstellung,the installation
der Ausblick,the view
der Auslandsvertrieb,the distribution abroad
der Beamer,the projector
die Beförderung,the promotion
der Besprechungspunkt,the point of discussion
die Besprechungsunterlagen,the meeting documents
bestimmen,to determine
bewältigen,to overcome
die Bewirtung,the hospitality
bündeln,to bundle
der,the mayor
das Controlling,the controlling
das Detail,the detail
die Diskussion,the discussion
die DOB,the women's outer garments
effektiv,effective
einplanen,to plan
die Einteilung,the classification
die Entwicklung,the development
erheblich,considerable
die Eröffnung,the opening
die Errichtung,the establishment
die Erwerbsquote,the employment rate
erwerbstätig,employed
die Erwerbstätigenquote,the employment rate
die Evaluation,the evaluation
der Expertenbericht,the expert report
fahrbar,mobile
die Festlegung,the determination
das Fingerfood,the finger food
der,the flip chart
fortbilden,to do further studies
der,the hairdresser
die Fußgängerzone,the pedestrian zone
das Gebiet,the area
die Geschäftschance,the business opportunity
die Gewinnspanne,the profit margin
global,global
das Großraumbüro,the open
die Gutscheinverlosung,the raffle draw
herrichten,to arrange
der Inhalt,the content
intensiv,intensive
die Jahresbilanz,the annual balance sheet
die Kapazität,the capacity
kausal,causal
die Kollektion,the collection
die Kooperation,the cooperation
der Kundenrabatt,the customer discount
die Leinwand,the screen
der Magnet,the magnet
der Marker,the marker
der Materialschrank,the storage cupboard
der Migrationshintergrund,the migrant background
der Mikrozensus,the micro census
das Mitarbeitermeeting,the employee meeting
die Moderationskarte,the cue card
der Moderationskoffer,the presenter’s toolbox
moderieren,to present
die Nachfrage,the request
der Netzwerkanschluss,the network connection
die Neueröffnung,the reopening
das Notebook,the notebook
die Ortsbegehung,the site visit
die Pinnwand,the notice board
die Planungsphase,the planning phase
die Preisentwicklung,the price trend
produktiv,productive
die Prognose,the prognosis
das Projekt,the project
die Projektplanung,the project planning
die Projektvorstellung,the project presentation
der,the minute keeper
protokollieren,to take minutes
das Quartal,the quarter
die Quartalsaufstellung,the quarterly financial report
realisieren,to realise
die Realisierung,the realisation
der Roboter,the robot
der Rückblick,the retrospect
die Schließung,the closing
der,the carpenter
das Segment,the segment
der,the secretary
sicherlich,surely
die Sitzung,the session
der,the city counsellor
steigern,to increase
der Tagesordnungspunkt,the item of the agenda
der Tagungsraum,the conference room
die Teambesprechung,the team meeting
das Teammeeting,the team meeting
die Terminabstimmung,the arrangement of appointment
die These,the thesis
die Überlegung,the consideration
der Umsatz,the revenue
die Verantwortung,the responsibility
verbreiten,to spread
der Vergleich,the comparison
der Verkaufsbericht,the sales report
verkaufsoffen,open for business
der Verlauf,the process
vermeidbar,avoidable
vermerken,to make note of
das Versprechen,the promise
das Vertriebsmeeting,the sales meeting
der Vertriebsweg,the sales channel
das Vorhaben,the intention
das Vorjahr,the previous year
vorziehen,to prefer
