deutsch,englisch
die Ausländerbehörde,the immigration authorities
der Ausweis,the ID
beantragen,to apply for
bearbeiten,to edit
die Behörde,the authorities
die Berufsberatung,the career guidance
das Berufsinformationszentrum,the career information centre
der,the cousin
dabei,thereby
das Dokument,the document
der,the spouse
die Eheschließung,the marriage
das Einwohnermeldeamt,the registration office
der,the grandson
das Enkelkind,the grandchild
entschuldigen,to excuse
das Familienbuch,the family register
die Familienkasse,the family class
das Familienmitglied,the family member
fehlen,to miss
das Finanzamt,the tax office
die Geburt,the birth
das Geburtsdatum,the date of birth
das Geburtsland,the country of birth
der Geburtsname,the name at birth
der Geburtsort,the place of birth
die Geburtsurkunde,the birth certificate
genehmigen,to approve
das Geschlecht,the gender
herein,within
hingehen,to go there
die Integration,the integration
der Integrationskurs,the integration course
das Kindergeld,the child allowance
der,the life partner
der Lichtbildausweis,the photo ID
losfahren,to drive away
männlich,male
die Nichte,the niece
notieren,to note
der Personalausweis,the personal ID
der Reisepass,the passport
die Schwiegereltern,the parents
die Staatsangehörigkeit,the nationality
das Team,the team
der Teil,the part
die Unterlagen,the documents
unterschreiben,to sign
die Urkunde,the certificate
vollständig,complete
die Webseite,the website
weiblich,female
wiederholen,to repeat
die Zulassungsstelle,the admission office
zuständig,responsible
das Abitur,the A
ablegen,to take
abschließen,to complete
der Abschluss,the degree
anbieten,to offer
der,the beginner
die Architektur,the architecture
das Ausland,the abroad
der Autounfall,the car accident
beenden,to end
die Beratung,the counselling
der Bereich,the area
die Berufsausbildung,the professional training
die Berufsschule,the vocational college
besonders,especially
der Bildungsweg,the course of education
die Büroorganisation,the office administration
das Chaos,the chaos
die Decke,the ceiling
das Ende,the end
die Energie,the energy
enthalten,to contain
entscheiden,to decide
erforderlich,required
die Fitness,the fitness
fliehen,to flee
fortgeschritten,advanced
der,the hairdresser
genial,great
hoffentlich,hopefully
jobben,to do casual
die Kategorie,the category
kaufmännisch,business
die Kenntnisse,the knowledge
die Kommunikation,the communication
kompakt,compact
kürzen,to shorten
die Kursgebühr,the course fee
das Kurzprogramm,the short program
der Lebensweg,the journey through life
die Lehre,the apprenticeship
das Lehrmaterial,the teaching material
das Material,the material
miserabel,miserable
mittlere,middle
das Prost,the Cheers!
die Prüfung,the exam
das Prüfungstraining,the exam training
der Realschulabschluss,the secondary school certificate
reisen,to travel
rhythmisch,rhythmical
schaffen,to succeed
die Schulzeit,the school days
seit,since
das Semester,the term
separat,separate
die Situation,the situation
städtisch,urban
die Terminplanung,the scheduling
der Test,the test
das Thema,the topic
die Theorie,the theory
trainieren,to train
das Training,the training
der Trick,the trick
die Überraschung,the surprise
die Überschrift,the heading
umschreiben,to re
verlieben,to fall in love
verlieren,to lose
Vorbereitung,preparation
die Vorkenntnisse,the prior knowledge
das Vorstellungsgespräch,the interview
die Weiterbildung,the further training
das Yoga,the yoga
das Zeitmanagement,the time management
das Zertifikat,the certificate
das Zeugnis,the certificate
zufrieden,satisfied
der,the contact person
der Aushilfsjob,the temporary job
aussehen,to look
der,the trainee
der,the baker's assistant
bedanken,to thank
bedienen,to serve
beeilen,to hurry
begründen,to justify
das Beratungsgespräch,the consultation
das Berufsfeld,the field of work
der,the applicant
bieten,to offer
eindecken,to inundate
genug,enough
Grundschule,primary school
handwerklich,manual
das Holz,the wood
der,the IT technician
die Kneipe,the pub
kostenfrei,free of charge
die Küchenhilfe,the kitchen assistant
die Laufbahn,the career path
der Lebenslauf,the CV
lückenlos,seamless
melden,to notify
die Mittelschule,the secondary school
der,fashion designer
das Muster,the pattern
nötig,necessary
ob,whether
persönlich,personal
professionell,professional
die Reinigungsarbeiten,the cleaning jobs
die Rente,the retirement
der,the restaurant specialist
spezial,special
statt,instead
die Stelle,the position
das Stellenangebot,the job offer
die Stellensuche,the job search
die Struktur,the structure
sympathisch,kind
die Teilzeit,the part
die Teilzeitstelle,the part
tippen,to type
der Tippfehler,the typing error
der,the carpenter
üben,to practice
die Übersiedlung,the relocation
unprofessionell,unprofessional
unsympathisch,unkind
unzufrieden,unsatisfied
verrückt,crazy
das Volleyball,the volleyball
die Vollzeit,the full
die Vollzeitstelle,the full
die Voraussetzung,the requirement
die Vorlage,the template
zuverlässig,reliable
