German,English
das Schnitzel,the schnitzel
das Schulsystem,the school system
das Sekretariat,the secretary's office
das Silber,the silver
das Sparkonto,the savings account
das Sparschwein,the piggy bank
das Spielfeld,the playing field
das Sportergebnis,the sports result
das Steak,the steak
das Tattoo,the tattoo
das Teelicht,the tea light
das Tier,the animal
das Überweisungsformular,the bank transfer form
das Vanilleeis,the vanilla ice cream
das Verhalten,the behaviour
das Volleyballspiel,the volley ball game
der Anruf,the call
der Anrufer,the caller
der Appetit,the appetite
der Arbeitgeber,the employer
der Arbeitsauftrag,the work order
der Arbeitsbeginn,the start of work
der Arbeitsschutz,the occupational safety
der Arbeitsvertrag,the work contract
der Aufzug,the lift
der Ausflug,the excursion
der Ausgleich,the balance
der Außendienst,the sales representatives
der Babyartikel,the baby items
der Babysitter,the babysitter
der Bankkaufmann,the banker
der Bankschalter,the bank counter
der Bart,the beard
der Beauftragte,the agent
der Bericht,the report
der Berufswunsch,the career aspiration
der BIC,the BIC
der Bildschirm,the screen
der Blick,the view
der Boden,the floor
der Brand,the fire
der Brandfall,the case of fire
der Brandmelder,the fire alarm
der Brandschutz,the fire prevention
der Champignon,the mushroom
der Chor,the choir
der Daumen,the thumb
der Dieb,the thief
der Duft,the smell
der Einlass,the admission
der Eiswürfel,the ice cube
der Elternabend,the parent's evening
der Elternsprechtag,the parent-teacher day
der Englischlehrer,the English teacher
der Entwurf,the draft
der Fahrradhelm,the cycle helmet
der Feuerlöscher,the fire extinguisher
der Fluss,the river
der Fotograf,the photographer
der Gegensatz,the contrast
der Geldautomat,the cash machine
der Grafiker,the graphic designer
der Grill,the barbecue
der Grillplatz,the barbecue area
der Gürtel,the belt
der Integrationsverein,the integration association
der Internetzugang,the internet access
der Interviewpartner,the interview partner
der Jugendliche,the youth
der Junge,the boy
der Kabelsalat,the cable tangle
der Klassenlehrer,the class teacher
der Knöchel,the knuckle
der Kontoauszug,the account statement
der Kontoinhaber,the account holder
der Kopfhörer,the headphones
der Korb,the basket
der Kumpel,the mate
der Laden,the premises
der Laptop,the laptop
der Löffel,the spoon
der Modeschmuck,the fashion jewellry
der Muskel,the muscle
der Nulltarif,the zero tariff rate
der Ofen,the oven
der Ohrring,the earring
der Personalleiter,the head of personnel
der Pfennig,the penny
der Pilot,the pilot
der PIN,the PIN
der Poetry-Slam,the poetry slam
der Polizist,the policeman
der Quatsch,the rubbish
der Rat,the advice
der Ratschlag,the piece of advice
der Rechnungsbetrag,the invoice amount
der Reichtum,the wealth
der Respekt,the respect
der Rettungswagen,the ambulance
der Saal,the hall
der Schafskäse,the feta cheese
der Schmuck,the jewellry
der Schnupperkurs,the taster course
der Schnurrbart,the moustache
der Schornsteinfeger,the chimney sweep
der Schrei,the scream
der Schulleiter,the headteacher
der Sieg,the victory
der Snack,the snack
der Sozialpädagoge,the social education worker
der Sportplatz,the sports field
der Sportunterricht,the sports lessons
der Sportverein,the sports club
der Stiefel,the boot
der Tango,the tango
der Tänzer,the dancer
der Tanzkurs,the dance class
der Täter,the culprit
der Teenager,the teenager
der Tierpfleger,the zookeeper
der Toaster,the toaster
der Trainer,the trainer
der Überfall,the robbery
der Unterschied,the difference
der Vegetarier,the vegetarian
der Veranstaltungshinweis,the event information
der Versicherungsnehmer,the policy holder
der Versicherungstarif,the insurance tariff
der Versuch,the attempt
der Vertrieb,the sales
der Verwendungszweck,the purpose
der Vokabeltest,the vocabulary test
der Vorteil,the advantage
der Vortrag,the presentation
der Wanderschuh,the hiking shoes
der Wecker,the alarm
der Werbeflyer,the flyer
der Zahlungsempfänger,the payee
der Zeitungsartikel,the newspaper article
der Zeuge,the witness
deutlich,clearly
dick,fat
die Abteilung,the department
die Accessoires,the accessories
die Aktivität,the activity
die Akupunktur,the acupuncture
die Alternative,the alternative
die Angst,the fear
die Anweisung,the instruction
die Apfelschorle,the apple spritzer
die Armut,the poverty
die Aubergine,the aubergine
die Auflistung,the list
die Ausrüstung,the equipment
die Aussicht,the prospect
die Badesachen,the swimwear
die Band,the band
die Bankkarte,the bank card
die Bankleitzahl,the sort code
die Basis,the basis
die Begrüßung,the greeting
die Behandlung,the treatment
die Bekleidung,the clothing
die Besprechung,the meeting
die Bestellnummer,the order number
die Bestellung,the order
die Biologie,the biology
die Brandbekämpfung,the fire fighting
die Broschüre,the brochure
die Buchhaltung,the accountant
die Chemie,the chemistry
die Currywurst,the currywurst
die Dame,the lady
die Eingabe,the input
die Elektrik,the electrics
die Elektronik,the electronics
die Entspannung,the relaxation
die Erdkunde,the geography
die Fachhochschule,the technical college
die Fachhochschulreife,the technical college certificate
die Filiale,the branch
die Flamme,the flame
die Flipflops,the flip flops
die Freizeit,the free time
die Freizeitaktivität,the free time activities
die Gabel,the fork
die Gastronomie,the gastronomy
die Gebühr,the fee
die Geldbörse,the purse
die Gemüselasagne,the vegetable lasagne
die Gesamtschule,the comprehensive school
die Geschichte,the history
die Girocard,the girocard
die Glatze,the bald head
die Grafik,the graphics
die Grillkohle,the barbecue coal
die Grillsoße,the barbecue sauce
die Grillzange,the barbecue tong
die Gulaschsuppe,the goulash soup
die Gymnastik,the gymnastics
die Haarpflege,the hair care
die Haut,the skin
die Hautpflege,the skin care
die Hektik,the rush
die IBAN,the IBAN
die Innenstadt,the city centre
die Kamera,the camera
die Kerze,the candle
die Kindertagesstätte,the nursery school
die Klasse,the class
die Klassenarbeit,the classwork
die Kontonummer,the account number
die Kontoverbindung,the account connection
die Kosmetiktasche,the cosmetic bag
die Kostenerstattung,the reimbursement of costs
die Kostenübernahme,the cost transfer
die Kraft,the power
die Krawatte,the tie
die Kreditkarte,the credit card
die Kundenbetreuung,the customer support
die Kundennummer,the customer number
die Kundenreferenz,the customer reference
die Kunst,the art
die Leidenschaft,the passion
die Leistung,the service
die Lieblingsfarbe,the favourite colour
die Lust,the desire
die Massage,the massage
die Mathearbeit,the maths test
die Maus,the mouse
die Meditation,the meditation
die Mehrfachsteckdose,the power strip
die Meinung,the opinion
die Menge,the amount
die Münze,the coin
die Nachbereitung,the follow-up
die Nachhilfe,the private tuition
die Naturkosmetik,the natural cosmetics
die Nebenwirkung,the side effect
die Note,the mark
die Oberschule,the secondary school
die Parfümerie,the perfumery
die Personalabteilung,the personnel department
die Pfanne,the pan
die Pflicht,the duty
die Physik,the physics
die Planung,the schedule
die Realschule,the secondary modern school
die Rechnung,the bill
die Rechnungsnummer,the invoice number
die Rede,the speech
die Regel,the rule
die Regie,the management
die Religion,the religious studies
die Rückenmuskulatur,the back muscles
die Rückfrage,the query
die Schmerztablette,the pain medication
die Schuhgröße,the shoe size
die Schulform,the type of school
die Schulpflicht,the compulsory school attendance
die Schüssel,the key
die Schwellung,the swelling
die Shorts,the shorts
die Sicherheit,the security
die Spielwaren,the toys
die Sportart,the type of sport
die Steckdose,the socket
die Steuer,the tax
die Süßigkeiten,the sweets
die Tagesordnung,the daily schedule
die TAN,the TAN
die Taste,the button
die Teilnahme,the participation
die Teilnahmebescheinigung,the participation certificate
die Therapie,the therapy
die Tischdecke,the tablecloth
die Tischdekoration,the table decoration
die Tüte,the bag
die Übelkeit,the nausea
die Überwachungskamera,the CCTV
die Überweisung,the transfer
die Umfrage,the survey
die Umkleide,the changing room
die Uniform,the uniform
die Unterwäsche,the underwear
die Verabschiedung,the approval
die Vergangenheit,the past
die Vermeidung,the avoidance
die Verpackung,the packaging
die Versicherung,the insurance
die Verspannung,the tension
die Vorlesung,the lecture
die Vorschrift,the regulation
die Wärmflasche,the hot water bottle
die Werbeagentur,the marketing agency
die Zucchini,the zucchini
dieselbe,the same
drücken,to press
dünn,thin
egal,equal
eigen,own
einfarbig,monochromatic
eingeben,to input
einzahlen,to pay in
empfindlich,sensitive
engagieren,to engage
entlang,along
entspannen,to relax
erfahren,to find out
erlauben,to allow
erledigen,to manage to
eröffnen,to open
erstatten,to compensate
erwarten,to wait for
erwischen,to catch
fantastisch,fantastic
fit,fit
folgen,to follow
folgend,following
formell,formula
formulieren,to formulate
freiwillig,voluntary
frittieren,to fry
gefährden,to endanger
gemischt,mixed
genießen,to enjoy
gepunktet,spotty
gesamt,whole
gestalten,to design
gestreift,striped
gesund,healthy
gesundheitlich,hygienic
gewinnen,to win
glatt,smooth
griechisch,Greek
heraussuchen,to pick out
herrlich,delightful
herum,around
hiermit,hierwith
hierzu,hereto
hinfahren,to go there
hinfallen,to fall over
hochlegen,to elevate
höflich,polite
holen,to fetch
hübsch,pretty
indirekt,indirect
interessieren,to interest
irgendwo,somewhere
jährlich,annually
jederzeit,anytime
jeweils,respectively
kariert,checkered
kennzeichnen,to mark
klagen,to sue
knackig,crispy
kommunizieren,to communicate
kompliziert,complicated
kontrollieren,to monitor
konzentrieren,to concentrate
kopieren,to copy
kühlen,to cool
laufen,to run
leihen,to lend
lockig,curly
lösen,to solve
malen,to paint
manche,some
massieren,to massage
meist,most
mitfahren,to travel with
mitschreiben,to take notes
mobil,portable
monatlich,monthly
nachher,afterwards
nähen,to sew
nennen,to name
niemand,nobody
normal,normal
normalerweise,normally
nutzen,useage
olympisch,olympic
plötzlich,suddenly
reagieren,to react
reich,rich
reizen,to irritate
scharf,spicy
schauen,to look
schick,chic
schieben,to shut
schlachten,to slaughter
schlafengehen,to go to sleep
schlagen,to hit
schlank,slim
schrecklich,terrible
segeln,to sail
selber,by oneself
selbst,even
spätestens,at the latest
speziell,special
ständig,constant
stärken,to strengthen
stecken,to put
stehlen,to steal
stoßen,to encounter
streng,strict
surfen,to surf
teilnehmen,to take part
telefonisch,by telephone
träumen,to dream
traurig,sad
treiben,to do
trotzdem,despite
turnen,to do gymnastics
überfallen,to attack
überlasten,to overload
übersenden,to send
überweisen,to transfer
übrigens,by the way
umfangreich,comprehensive
umknicken,to fold over
unbürokratisch,unbureaucratic
unfair,unfair
ungarisch,Hungarian
ungenügend,unsatisfactory
unten,under
unterhalten,to entertain
unterstützen,support
vegetarisch,vegetarian
verabschieden,to adopt
veranstalten,to organise
verbessern,to improve
verboten,to forbid
verbringen,to spend time
verlegen,to reschedule
vermeiden,to avoid
vermitteln,to procure
verschreiben,to prescribe
verteilen,to distribute
verwenden,to use
vorbeikommen,to drop by
vorbereiten,to prepare
während,during
wandern,to hike
weggehen,to go away
weglaufen,to run away
werfen,to throw
wirklich,really
wunderbar,wonderful
zurückgeben,to return
zwischendurch,occasionally
