German,English
das Kino,the cinema
der Stadtwald,the city forest
das Rathaus,the city hall
der Stadtplan,the city map
die Klamotten,the clothes
die Kleidung,the clothing
der Mantel,the coat
die Erkältung,the cold
der Kollege,the colleague
die Farbe,the colour
die Himmelsrichtung,the compass point
das Computerprogramm,the computer programme
das Computersystem,the computer system
das Konzert,the concert
die Sprechstunde,the consultation hours
das Sprechzimmer,the consultation room
der Hausflur,the corridor
der Husten,the cough
das Studium,the course of study
die Kreuzung,the crossroads
der Papa,the dad
das Datum,the date
die Tageskarte,the day ticket
der Grad,the degrees
das Kaufhaus,the department store
der Arzt,the doctor
der Hund,the dog
der Traumberuf,the dream job
das Kleid,the dress
der Fahrer,the driver
der Führerschein,the driver's license
der Tropfen,the drops
das Ohr,the ear
der Osten,the east
das Ostern,the Easter
der Osterhase,the easter bunny
das Osterei,the easter egg
die Ausbildung,the education
der Ellbogen,the elbow
die Notfallsprechstunde,the emergency consultation
der Ingenieur,the engineer
die Untersuchung,the examination
das Auge,the eye
das Gesicht,the face
die Mode,the fashion
die Ärztin,the female doctor
das Fieber,the fever
der Finger,the finger
der Feierabend,the finishing time
die Blume,the flower
die Grippe,the flu
der Fußballspieler,the football player
die Stirn,the forehead
die Gartenparty,the garden party
der Handschuh,the glove
der Hausarzt,the GP
die Oma,the Grandma
die Gruppe,the group
die Gitarre,the guitar
das Haar,the hair
die Hand,the hand
die Mütze,the hat
der Kopf,the head
die Kopfschmerzen,the headache
die Gesundheit,the health
die Krankenkasse,the health insurance
die Gesundheitskarte,the health insurance card
die Aushilfe,the help
das Hobby,the hobby
der Urlaub,the holiday
das Ferienhaus,the holiday home
das Krankenhaus,the hospital
das Hotel,the hotel
der Hausmann,the househusband
die Hausfrau,the housewife
das Eis,the ice cream
die Krankheit,the illness
die Auskunft,the information
der Informationsschalter,the information desk
der Intercity,the intercity
das Praktikum,the internship
die Praktikumsbetreuerin,the internship supervisor
die Einladung,the invitation
die Insel,the island
die Inselrundfahrt,the island tour
das Kleidungsstück,the item of clothing
die Jacke,the jacket
die Jeans,the jeans
das Jobcenter,the job centre
die Praxisgemeinschaft,the joint practice
die Reise,the journey
der Pullover,the jumper
das Knie,the knee
das Bein,the leg
der Brief,the letter
das Entschuldigungsschreiben,the letter of apology
die Bibliothek,the library
die Linie,the line
das Bürgerbüro,the local city office
der Glückstag,the lucky day
das Mittagessen,the lunch
der Hauptbahnhof,the main train station
die Deutschlandkarte,the map of Germany
der März,the march
die Mathematik,the mathematics
das Verkehrsmittel,the means of transport
der Mechaniker,the mechanic
das Medikament,the medicine
der Meter,the metre
die Minute,the minute
die Mobilität,the mobility
das Modell,the model
der Moment,the moment
der Mond,the moon
das Kraftfahrzeug,the motor vehicle
das Motorrad,the motorcycle
der Mund,the mouth
die Bewegung,the movement
die Mama,the mum
der Musiklehrer,the music teacher
die Natur,the nature
der Nacken,the neck
der Nachbar,the neighbour
der Nachtdienst,the night shift
der Norden,the north
die Nase,the nose
der Bescheid,the notice
der Roman,the novel
der Krankenpfleger,the nurse
das Meer,the ocean
das Oktoberfest,the Octoberfest
der Bürokaufmann,the office administrator
die Salbe,the ointment
das Altenpflegeheim,the old people's home
die Ordnung,the order
die Orientierung,the orientation
der Orthopäde,the orthopaedist
der Schmerz,the pain
das Paar,the pair
der Park,the park
die Parkgebühr,the parking fee
der Briefteil,the part of letter
das Fest,the party
der Fahrgast,the passenger
der Weg,the path
der Patient,the patient
der Rentner,the pensioner
die Leute,the people
der Mensch,the person
die Apotheke,the pharmacy
der Pizzafahrer,the pizza driver
die Pizzeria,the pizzeria
das Pflaster,the plaster
der Teller,the plate
das Gleis,the platform
die Polizei,the police
die Position,the police station
die Post,the post office
die Postkarte,the postcard
die Praxis,the practice
das Geschenk,the present
der Prospekt,the prospect
die Vorsorge,the provision
die Ruhe,the quiet
der Hase,the rabbit
das Radio,the radio
der Kassenbon,the receipt
die Sprechstundenhilfe,the receptionist
das Rezept,the recipe
der Empfänger,the recipient
die Besserung,the recovery
die Regionalbahn,the regional train
das Standesamt,the registry office
die Reparatur,the repair
der Schienenersatzverkehr,the replacement bus service
der Reporter,the reporter
das Restaurant,the restaurant
der Weihnachtsmann,the Santa claus
der Schal,the scarf
der Schüler,the schoolchild
der Seehund,the seal
die Jahreszeit,the season
der Dienst,the service
das Schiff,the ship
das Hemd,the shirt
der Schuh,the shoe
der Einkaufsbummel,the shopping spree
die Kurzstrecke,the short
die Schulter,the shoulder
die Krankmeldung,the sick note
die Unterschrift,the signature
die Einzelfahrkarte,the single ticket
der Ski,the ski
der Rock,the skirt
der Schnee,the snow
der Schneemann,the snowman
die Socke,the sock
die Lösung,the solution
das Halsweh,the sore throat
die Suppe,the soup
der Süden,the south
der Sekt,the sparking wine
die Spezialität,the speciality
die Anrede,the speech
der Frühling,the spring
der Strumpf,the stocking
der Bauch,the stomach
die Bauchschmerzen,the stomach ache
die Haltestelle,the stop
der Stress,the stress
der Student,the student
der Betreff,the subject line
der Anzug,the suit
der Koffer,the suitcase
der Sommer,the summer
das Schwimmbad,the swimming pool
das T-shirt,the T-shirt
die Tablette,the tablet
das Taxi,the taxi
der Taxifahrer,the taxi driver
der Techniker,the technician
das Telefon,the telephone
das Tennis,the tennis
der Hals,the throat
der Schnupfen,the to sniff
der Zeh,the toe
der Zahn,the tooth
der Tourist,the tourist
der Jogginganzug,the tracksuit
die Ampel,the traffic lights
der Zug,the train
der Bahnhof,the train station
der Sportschuh,the trainer
die Straßenbahn,the tram
die Fahrkarte,the travel ticket
der Schatz,the treasure
der Baum,the tree
die Hose,the trousers
die Universität,the university
der Unglückstag,the unlucky day
der Besuch,the visit
der Kellner,the waiter
das Wartezimmer,the waiting room
das Wetter,the weather
der Wetterbericht,the weather report
die Hochzeit,the wedding
die Hochzeitsfeier,the wedding party
der Wochenmarkt,the weekly market
der Westen,the west
das Westdeutschland,the West Germany
der Winter,the winter
der Wintermantel,the winter coat
der Arbeitstag,the work day
die Werkstatt,the workshop
die Jahreszahl,the year
dritte,third
dreimal,three times
eng,tight
raten,to advise
beantworten,to answer
nachfragen,to ask about
backen,to bake
dürfen,to be allowed to
geboren sein,to be born
freuen,to be happy
glauben,to believe
atmen,to breathe
bringen,to bring
mitbringen,to bring with
bauen,to build
rechnen,to calculate
fangen,to catch
feiern,to celebrate
wechseln,to change
prüfen,to check
wählen,to choose
räumen,to clear
steigen,to climb
wiederkommen,to come again
korrigieren,to correct
tanzen,to dance
anziehen,to dress
verdienen,to earn
umtauschen,to exchange
fallen,to fall
fühlen,to feel
ausfüllen,to fill out
passen,to fit
vergessen,to forget
bilden,to form
erkälten,to get a cold
aufregen,to get excited
schenken,to gift
geben,to give
aufwachsen,to grow up
verzögern,to hesitate
wehtun,to hurt
installieren,to install
einladen,to invite
kennen,to know
dauern,to last
lieben,to love
heiraten,to marry
treffen,to meet
organisieren,to organise
packen,to pack
bezahlen,to pay
fotografieren,to photograph
gefallen,to please
regnen,to rain
reparieren,to repair
berichten,to report
klingeln,to ring
schicken,to send
servieren,to serve
stellen,to set
scheinen,to shine
rauchen,to smoke
schneien,to snow
anfangen,to start
bleiben,to stay
halten,to stop
studieren,to study
reden,to talk
unterrichten,to teach
denken,to think
fahren,to travel
probieren,to try
besuchen,to visit
warten,to wait
wollen,to want
gucken,to watch
tragen,to wear
zweimal,twice
typisch,typical
unter,under
verstanden,understood
unglücklich,unhappy
außerplanmäßig,unscheduled
uns,us
gültig,valid
warm,warm
nass,wet
wohin,where to
wieso,why
gelb,yellow
euch,you
euer,your
