id_vocab,german_word,english_word,score_before,score_before_other_language,language_asked,result,guess,question_time,write_it_again,datetime
392,die Idee,the idea,0,0,german,0,das Idee,5,die Idee the idea die Idee,2020-09-23 17:53:40.709667
295,langsam,slow,0,0,english,1,slow,3,,2020-09-23 17:53:44.365628
87,der Berg,the mountain,0,0,german,0,das Berg,3,der Berg the mountain der Berg,2020-09-23 17:53:53.468662
345,stimmen,to vote,0,0,english,1,to vote,3,,2020-09-23 17:53:56.693272
398,attraktiv,attractive,0,0,german,1,attraktiv,6,,2020-09-23 17:54:02.941672
444,die Ärztin,the female doctor,0,0,english,1,the female doctor,6,,2020-09-23 17:54:09.820782
296,laufen,to run,0,0,german,1,laufen,5,,2020-09-23 17:54:14.908487
176,die Flagge,the flag,0,0,english,1,the flag,3,,2020-09-23 17:54:18.308711
83,der Arm,the arm,0,0,german,0,das Arm,4,der Arm the arm,2020-09-23 17:54:26.651208
568,und,and,0,0,german,1,und,1,,2020-09-23 17:54:28.459396
455,zusammen,together,0,0,english,1,together,3,,2020-09-23 17:54:31.693431
77,das Wohnzimmer,the living room,0,0,german,0,,3,das Wohnzimmer the living room das Wohnzimmer,2020-09-25 21:19:15.607311
592,das Pferd,the horse,0,0,english,1,the horse,2,,2020-09-25 21:19:18.261928
365,vielleicht,maybe,0,0,german,1,vielleicht,6,,2020-09-25 21:19:24.503332
256,fühlen,to feel,0,0,english,1,to feel,2,,2020-09-25 21:19:27.310643
532,das Problem,the problem,0,0,english,1,the problem,2,,2020-09-25 21:19:30.031075
355,traurig,sad,0,0,english,1,sad,2,,2020-09-25 21:19:32.318766
183,die Garage,the garage,0,0,english,1,the garage,2,,2020-09-25 21:19:34.702604
335,sichtbar,visible,0,0,english,1,visible,4,,2020-09-25 21:19:39.052016
580,leer,empty,0,0,english,1,empty,2,,2020-09-25 21:19:41.525555
269,gut,good,1,0,german,1,gut,1,,2020-09-25 21:19:43.069160
434,der Prinz,the prince,0,0,english,1,the prince,3,,2020-09-25 21:19:46.933769
394,gut,good,0,0,english,1,good,145,,2020-09-25 21:22:12.705612
273,Guten Tag,good day,0,0,german,1,Guten Tag,3,,2020-09-25 21:22:16.463001
194,die Katze,the cat,0,0,english,0,the kat,2,die Katze the cat die Katze,2020-09-25 21:22:25.591432
73,das Tier,the animal,0,0,english,1,the animal,2,,2020-09-25 21:22:28.216149
131,der Praktikant,the intern,0,0,english,1,the intern,3,,2020-09-25 21:22:31.262223
457,aber,but,0,0,german,1,aber,3,,2020-09-25 21:22:34.503662
211,die Reise,the travel,0,0,english,1,the travel,3,,2020-09-25 21:22:37.696950
92,der Enkel,the grand-son,0,0,english,1,the grand-son,3,,2020-09-25 21:22:41.271619
520,das Fleisch,the meat,0,0,english,1,the meat,2,,2020-09-25 21:22:44.078093
420,sein,to be,0,0,german,1,sein,2,,2020-09-25 21:22:46.167718
444,die Ärztin,the female doctor,0,0,german,1,die Ärztin,4,,2020-09-25 21:22:50.623571
316,prima,fine,0,0,german,0,rima,3,prima fine prima,2020-09-25 21:22:57.142474
63,das Restaurant,the restaurant,0,0,english,1,the restaurant,3,,2020-09-25 21:23:00.999370
573,der Apfel,the apple,0,0,english,1,the apple,3,,2020-09-25 21:23:04.463823
79,das Zebra,the zebra,0,0,german,1,das Zebra,5,,2020-09-25 21:23:09.524689
391,keine Ahnung,no idea,0,0,english,1,no idea,3,,2020-09-25 21:23:13.302352
61,das Radio,the radio,1,0,english,1,the radio,2,,2020-09-25 21:23:15.749921
506,mag,like,0,0,german,1,mag,2,,2020-09-25 21:23:17.902760
372,waschen,to wash,0,0,english,1,to wash,2,,2020-09-25 21:23:20.646186
442,alt,old,0,0,german,1,alt,1,,2020-09-25 21:23:22.262649
342,sprechen,to speak,1,0,english,1,to speak,2,,2020-09-25 21:23:24.829868
82,der Arkitekt,the architect,0,0,english,1,the architect,3,,2020-09-25 21:23:28.620114
240,durst,thirsty,0,0,german,1,durst,3,,2020-09-25 21:23:32.149480
544,die Karotte,the carrot,0,0,english,1,the carrot,2,,2020-09-25 21:23:34.939261
468,das Haar,the hair,0,0,german,1,das Haar,3,,2020-09-25 21:23:37.989767
57,das Praktikum,the internship,0,0,english,1,the internship,4,,2020-09-25 21:23:42.612998
2,allein,alone,0,0,german,1,allein,417,,2020-09-25 21:30:40.604647
36,das Gemüse,the vegetable,0,0,german,0,gas Gemüse,5,das Gemüse,2020-09-25 21:30:50.890681
159,Deutschland,Germany,0,0,english,1,Germany,3,,2020-09-25 21:30:54.260548
150,der Veteran,the veteran,0,0,english,1,the veteran,2,,2020-09-25 21:30:56.923474
259,gehen,to go,0,0,german,1,gehen,2,,2020-09-25 21:30:59.083720
109,der Käse,the cheese,0,0,german,0,das Käse,1010,,2020-09-25 21:47:51.158474
584,lernen,to learn,0,0,german,1,lernen,2,,2020-09-25 21:47:53.797258
222,die Sprache,the language,1,0,english,1,the language,2,,2020-09-25 21:47:56.789584
251,fotografieren,to photograph,0,0,german,1,fotografieren,9,,2020-09-25 21:48:06.437156
265,glauben,to believe,0,0,german,1,glauben,3,,2020-09-25 21:48:09.861715
140,der Sohn,the son,0,0,english,1,the son,1,,2020-09-25 21:48:11.861084
84,der Arzt,the doctor,0,0,german,1,der Arzt,3,,2020-09-25 21:48:14.892415
233,die Wohnung,the flat,0,0,english,0,the appartment,3,die Wohnung the flat,2020-09-25 21:48:23.315649
310,nein,no,0,0,german,1,nein,1,,2020-09-25 21:48:25.092660
486,der Bruder,the brother,0,0,german,1,der Bruder,2,,2020-09-25 21:48:27.908125
458,Hilfe,Help,0,0,english,1,Help,2,,2020-09-25 21:48:30.084100
533,die Frage,the question,0,0,english,1,the question,3,,2020-09-25 21:48:33.212823
158,Deutsch,German,0,0,english,1,German,3,,2020-09-25 21:48:37.099467
388,auch,also,0,0,english,1,also,3,,2020-09-25 21:48:40.179311
361,und,and,0,0,english,1,and,1,,2020-09-25 21:48:41.795426
99,der Geist,the ghost,0,0,english,1,the ghost,5,,2020-09-25 21:48:47.594739
70,das Sonderangebot,the special offer,-1,0,german,0,der Sonderangebot,5,das Sonderangebot the special offer,2020-09-25 21:49:00.866021
248,fantastisch,fantastic,0,0,english,0,fasntastic,3,fantastic fantastisch,2020-09-25 21:49:12.441354
383,zusammen,together,0,0,english,1,together,2,,2020-09-25 21:49:14.977841
348,süss,sweet,0,0,english,1,sweet,3,,2020-09-25 21:49:18.969826
246,essen,to eat,0,0,german,1,essen,2,,2020-09-25 21:49:21.249838
475,das Wetter,the weather,0,0,english,1,the weather,2,,2020-09-25 21:49:24.038480
428,leider,unfortunately,0,0,english,1,unfortunately,3,,2020-09-25 21:49:27.978234
149,der Vater,the father,1,0,german,1,der Vater,2,,2020-09-25 21:49:30.970561
207,die Oma,the grandma,0,0,german,1,die Oma,3,,2020-09-25 21:49:34.595251
305,mag,like,1,0,german,1,mag,2,,2020-09-25 21:49:37.067129
309,müde,tired,0,0,english,1,tired,4,,2020-09-25 21:49:41.331602
101,der Hals,the neck,0,0,german,1,der Hals,4,,2020-09-25 21:49:46.011914
121,der Löwe,the lion,0,0,english,1,the lion,2,,2020-09-25 21:49:48.539195
485,zweite,second,0,0,english,0,twice,4,zweite second zweite,2020-09-25 21:49:58.322588
513,das Schwimmbad,the swimming pool,0,0,english,0,the swimming-pool,5,the swimming pool das Schwimmbad,2020-09-25 21:50:12.138401
451,der Wein,the wine,0,0,english,1,the wine,2,,2020-09-25 21:50:14.242671
500,brauchen,to need,1,0,german,1,brauchen,3,,2020-09-25 21:50:17.403164
160,Dezember,December,0,0,german,1,Dezember,2,,2020-09-25 21:50:20.418293
242,Englisch,English,0,0,english,1,English,2,,2020-09-25 21:50:22.954616
154,der Winter,the winter,0,0,english,1,the winter,3,,2020-09-25 21:50:26.298122
381,wo,where,0,0,german,1,wo,1,,2020-09-25 21:50:27.921989
113,der Konflikt,the conflict,0,0,german,0,das Klonfikt,6,der Konflikt the conflict,2020-09-25 21:50:40.617176
175,die Ferien,the holidays,0,0,german,0,die Urlaub,3,die Ferien the olidays die Ferien,2020-09-25 21:50:53.872323
481,die Familie,the family,0,0,german,1,die Familie,5,,2020-09-25 21:50:59.345259
403,orange,orange,1,0,english,1,orange,2,,2020-09-25 21:51:01.576963
577,der Frühling,the spring,1,0,german,1,der Frühling,5,,2020-09-25 21:51:07.232860
551,toll,formidable,0,0,german,0,formaidable,4,toll formidable toll,2020-09-25 21:51:17.767565
48,das Material,the material,0,0,german,1,das Material,4,,2020-09-25 21:51:22.375176
489,die Religion,the religion,1,0,english,1,the religion,3,,2020-09-25 21:51:25.696560
311,neu,new,0,0,german,0,neue,3,new neu neu neu,2020-09-25 21:51:32.823166
294,lang,long,0,0,english,1,long,2,,2020-09-25 21:51:35.071650
24,dann,then,2,0,english,1,then,2,,2020-09-25 21:51:37.296038
317,rennen,to sprint,0,0,german,1,rennen,2,,2020-09-25 21:51:39.535306
193,die Kartoffel,the potato,0,0,german,1,die Kartoffel,6,,2020-09-25 21:51:46.511447
417,die Gewinnzahl,the winning number,0,0,german,0,die Winnzahlen,6,die Gewinnzahl the wining number die Gewinnzahl,2020-09-25 21:52:04.501048
172,die Enkelin,the grand-daughter,0,0,english,1,the grand-daughter,5,,2020-09-25 21:52:09.853295
452,Donnerstag,Thursday,0,0,english,1,Thursday,3,,2020-09-25 21:52:13.364557
542,die Erdbeere,the strawberry,0,0,german,0,die Erbeere,3,die Erdbeere the strawbeery,2020-09-25 21:52:24.507332
540,die Suppe,the soup,0,0,english,1,the soup,2,,2020-09-25 21:52:27.203421
287,kalt,cold,0,0,english,1,cold,1,,2020-09-25 21:52:29.116450
22,blind,blind,0,0,english,1,blind,2,,2020-09-25 21:52:31.244022
200,die Lampe,the lamp,0,0,english,1,the lamp,7,,2020-09-25 21:52:38.700319
36,das Gemüse,the vegetable,0,0,english,1,the vegetable,4,,2020-09-26 14:04:38.815994
168,die Chemie,the chemistry,0,0,german,0,das Chemie,3,die Chemie the chemistry die Chemie,2020-09-26 14:04:50.776048
109,der Käse,the cheese,0,0,english,1,the cheese,2,,2020-09-26 14:04:53.693366
468,das Haar,the hair,1,0,german,1,das Haar,2,,2020-09-26 14:04:56.252917
