id_vocab,german,english,score_german_english,score_english_german,retry_german_english,retry_english_german,try_session_german_english,try_session_english_german
132,der Prinz,the prince,0,0,2022-01-01,2022-01-01,False,False
133,der Pullover,the pullover,0,0,2022-01-01,2022-01-01,False,False
134,der Regenschirm,the umbrella,0,-1,2022-01-01,2022-01-01,False,False
135,der Reis,the rice,0,0,2022-01-01,2022-01-01,False,False
136,der Schauspieler,the actor,0,1,2022-01-01,2022-01-01,False,False
137,der Schlüssel,the key,0,0,2022-01-01,2022-01-01,False,False
138,der Seher,the seer,0,-1,2022-01-01,2022-01-01,False,True
139,der Sekretär,the secretary,0,0,2022-01-01,2022-01-01,False,False
140,der Sohn,the son,1,0,2022-01-01,2022-01-01,False,False
141,der Sommer,the summer,0,0,2022-01-01,2022-01-01,False,False
142,der Statistiker,the statistician,0,0,2022-01-01,2022-01-01,False,False
143,der Stern,the star,0,0,2022-01-01,2022-01-01,False,False
144,der Student,the student,-1,0,2022-01-01,2022-01-01,False,False
145,der Stuhl,the chair,0,0,2022-01-01,2022-01-01,False,False
146,der Tee,the tea,1,0,2022-01-01,2022-01-01,True,False
147,der Teppich,the carpet,0,0,2022-01-01,2022-01-01,False,False
148,der Tiger,the tiger,1,0,2022-01-01,2022-01-01,False,False
149,der Vater,the father,0,2,2022-01-01,2022-01-01,False,False
150,der Veteran,the veteran,1,0,2022-01-01,2022-01-01,False,False
151,der Vogel,the bird,1,0,2022-01-01,2022-01-01,False,False
152,der Wald,the forest,0,0,2022-01-01,2022-01-01,False,False
153,der Wein,the wine,0,0,2022-01-01,2022-01-01,False,False
154,der Winter,the winter,1,0,2022-01-01,2022-01-01,False,False
155,der Wurst,the sausage,0,1,2022-01-01,2022-01-01,False,False
156,der Zucker,the sugar,0,0,2022-01-01,2022-01-01,False,False
157,der Zug,the train,0,0,2022-01-01,2022-01-01,False,False
158,Deutsch,German,1,0,2022-01-01,2022-01-01,False,False
159,Deutschland,Germany,1,0,2022-01-01,2022-01-01,False,False
160,Dezember,December,1,1,2022-01-01,2022-01-01,True,False
161,die Angst,the fear,3,0,2022-01-01,2022-01-01,True,False
162,die Antwort,the answer,0,-1,2022-01-01,2022-01-01,False,False
163,die Aussage,the statement,0,-1,2022-01-01,2022-01-01,False,False
164,die Banane,the banana,1,0,2022-01-01,2022-01-01,False,False
165,die Bibliothek,the library,0,0,2022-01-01,2022-01-01,False,False
166,die Blume,the flower,0,0,2022-01-01,2022-01-01,False,False
167,die Bluse,the blouse,0,0,2022-01-01,2022-01-01,False,False
168,die Chemie,the chemistry,-1,-1,2022-01-01,2022-01-01,False,True
169,die Couch,the couch,0,0,2022-01-01,2022-01-01,False,False
170,die Dinge,the thing,0,0,2022-01-01,2022-01-01,False,False
171,die Ehefrau,the wife,0,1,2022-01-01,2022-01-01,False,False
172,die Enkelin,the grand-daughter,1,0,2022-01-01,2022-01-01,False,False
173,die Ente,the duck,0,0,2022-01-01,2022-01-01,False,False
174,die Farbe,the color,0,1,2022-01-01,2022-01-01,False,False
175,die Ferien,the holidays,0,-1,2022-01-01,2022-01-01,False,False
176,die Flagge,the flag,1,0,2022-01-01,2022-01-01,False,False
177,die Flasche,the bottle,0,0,2022-01-01,2022-01-01,False,False
178,die Fliege,the fly,0,0,2022-01-01,2022-01-01,False,False
179,die Fotografie,the photography,1,0,2022-01-01,2022-01-01,True,False
180,die Frage,the question,0,0,2022-01-01,2022-01-01,False,False
181,die Frau,the woman,0,1,2022-01-01,2022-01-01,False,True
182,die Freundin,the girlfriend,1,0,2022-01-01,2022-01-01,False,False
183,die Garage,the garage,1,0,2022-01-01,2022-01-01,False,False
184,die Gewinnzahl,the winning number,0,0,2022-01-01,2022-01-01,False,False
185,die Grossmutter,the grand-mother,0,0,2022-01-01,2022-01-01,False,False
186,die Gruppe,the group,1,0,2022-01-01,2022-01-01,False,False
187,die Hexe,the witch,0,0,2022-01-01,2022-01-01,False,False
188,die Himbeere,the raspberry,0,0,2022-01-01,2022-01-01,False,False
189,die Hose,the pants,0,0,2022-01-01,2022-01-01,False,False
190,die Identität,the identity,0,0,2022-01-01,2022-01-01,False,False
191,die Jacke,the jacket,1,0,2022-01-01,2022-01-01,True,False
192,die Jugend,the youth,0,0,2022-01-01,2022-01-01,False,False
193,die Kartoffel,the potato,0,1,2022-01-01,2022-01-01,False,False
194,die Katze,the cat,-1,0,2022-01-01,2022-01-01,False,False
195,die Kirche,the church,1,0,2022-01-01,2022-01-01,False,False
196,die Kosmetik,the make-up,0,0,2022-01-01,2022-01-01,False,False
197,die Küche,the kitchen,-1,0,2022-01-01,2022-01-01,False,False
198,die Kuh,the cow,0,0,2022-01-01,2022-01-01,False,False
199,die Kumquat,the kumquat,0,0,2022-01-01,2022-01-01,False,False
200,die Lampe,the lamp,1,0,2022-01-01,2022-01-01,False,False
201,die Maus,the mouse,0,0,2022-01-01,2022-01-01,False,False
202,die Milch,the milk,1,0,2022-01-01,2022-01-01,True,False
203,die Möbel,the furniture,0,0,2022-01-01,2022-01-01,False,False
204,die Möglichkeit,the possibility,0,0,2022-01-01,2022-01-01,False,False
205,die Moral,the morality,0,0,2022-01-01,2022-01-01,False,False
206,die Mutter,the mother,0,0,2022-01-01,2022-01-01,False,False
207,die Oma,the grandma,1,1,2022-01-01,2022-01-01,True,False
208,die Pflanze,the plant,0,0,2022-01-01,2022-01-01,False,False
209,die Philosophie,the philosophy,-1,0,2022-01-01,2022-01-01,False,False
210,die Qualifikation,the qualification,0,-1,2022-01-01,2022-01-01,False,False
211,die Reise,the travel,1,-1,2022-01-01,2022-01-01,False,True
212,die Rose,the rose,0,0,2022-01-01,2022-01-01,False,False
213,die rote Karte,the red card,0,-1,2022-01-01,2022-01-01,False,False
214,die Sauce,the sauce,0,1,2022-01-01,2022-01-01,False,True
215,die Schokolade,the chocolate,0,-1,2022-01-01,2022-01-01,False,True
216,die Schwester,the sister,0,1,2022-01-01,2022-01-01,False,True
217,die Seife,the soap,0,0,2022-01-01,2022-01-01,False,False
218,die SMS,the SMS,0,0,2022-01-01,2022-01-01,False,False
219,die Socke,the sock,0,0,2022-01-01,2022-01-01,False,False
220,die Spezialität,the specialty,0,0,2022-01-01,2022-01-01,False,False
221,die Spinne,the spider,0,-1,2022-01-01,2022-01-01,False,False
222,die Sprache,the language,3,1,2022-01-01,2022-01-01,True,False
223,die Stadt,the city,0,0,2022-01-01,2022-01-01,False,False
224,die Stimme,the voice,-1,0,2022-01-01,2022-01-01,True,False
225,die Strumpfhose,the hoose,0,0,2022-01-01,2022-01-01,False,False
226,die Suppe,the soup,0,0,2022-01-01,2022-01-01,False,False
227,die Terrasse,the terrace,0,0,2022-01-01,2022-01-01,False,False
228,die Theorie,the theory,0,0,2022-01-01,2022-01-01,False,False
229,die Tochter,the daughter,0,0,2022-01-01,2022-01-01,False,False
230,die Tomate,the tomato,2,1,2022-01-01,2022-01-01,True,False
231,die Tradition,the tradition,0,0,2022-01-01,2022-01-01,False,False
232,die Tür,the door,0,0,2022-01-01,2022-01-01,False,False
233,die Wohnung,the flat,-1,0,2022-01-01,2022-01-01,False,False
234,die Zahl,the number,0,0,2022-01-01,2022-01-01,False,False
235,die Zeit,the time,0,-1,2022-01-01,2022-01-01,False,False
236,die Zeitung,the newspaper,0,0,2022-01-01,2022-01-01,False,False
237,Dienstag,Tuesday,1,1,2022-01-01,2022-01-01,False,True
238,diskutieren,to discuss,0,0,2022-01-01,2022-01-01,False,False
239,Donnerstag,Thursday,1,0,2022-01-01,2022-01-01,False,False
240,durst,thirsty,1,1,2022-01-01,2022-01-01,True,False
241,einmal,once,0,0,2022-01-01,2022-01-01,False,False
242,Englisch,English,1,0,2022-01-01,2022-01-01,False,False
243,entschuldigung,excuse-me,0,1,2022-01-01,2022-01-01,False,False
244,erste,first,0,0,2022-01-01,2022-01-01,False,False
245,es tut mir leid,I'm sorry,0,-1,2022-01-01,2022-01-01,False,True
246,essen,to eat,0,1,2022-01-01,2022-01-01,False,False
247,falsch,wrong,0,1,2022-01-01,2022-01-01,False,False
248,fantastisch,fantastic,0,0,2022-01-01,2022-01-01,True,False
249,Februar,February,0,0,2022-01-01,2022-01-01,False,False
250,fertig,ready,-1,0,2022-01-01,2022-01-01,False,False
251,fotografieren,to photograph,0,1,2022-01-01,2022-01-01,False,False
252,frei,free,0,1,2022-01-01,2022-01-01,False,False
253,Freitag,Friday,1,0,2022-01-01,2022-01-01,True,False
254,fressen,to eat (animal),0,0,2022-01-01,2022-01-01,False,False
255,frisch,fresh,0,-1,2022-01-01,2022-01-01,False,False
256,fühlen,to feel,1,0,2022-01-01,2022-01-01,False,False
257,ganz,whole,0,0,2022-01-01,2022-01-01,False,False
258,geben,to give,0,0,2022-01-01,2022-01-01,False,False
259,gehen,to go,0,1,2022-01-01,2022-01-01,False,False
260,gelb,yellow,0,0,2022-01-01,2022-01-01,False,False
261,genau,I agree,1,0,2022-01-01,2022-01-01,False,False
262,gerade,just,0,0,2022-01-01,2022-01-01,False,False
263,geschieden,divorced,0,0,2022-01-01,2022-01-01,False,False
264,gesund,healthy,0,0,2022-01-01,2022-01-01,False,False
265,glauben,to believe,0,1,2022-01-01,2022-01-01,False,False
266,golden,golden,1,0,2022-01-01,2022-01-01,True,False
267,grau,grey,0,0,2022-01-01,2022-01-01,False,False
268,gross,big,0,0,2022-01-01,2022-01-01,False,False
269,gut,good,0,2,2022-01-01,2022-01-01,False,False
270,Gute Nacht,good night,0,0,2022-01-01,2022-01-01,False,False
271,Guten Abend,good evening,0,1,2022-01-01,2022-01-01,False,True
272,Guten Morgen,good morning,1,0,2022-01-01,2022-01-01,False,False
273,Guten Tag,good day,1,1,2022-01-01,2022-01-01,True,False
274,haben,to have,0,3,2022-01-01,2022-01-01,False,True
275,hässlich,ugly,1,0,2022-01-01,2022-01-01,False,False
276,heissen,to be named,1,0,2022-01-01,2022-01-01,True,False
277,heute,today,1,0,2022-01-01,2022-01-01,False,False
278,Himmel,Heaven,1,0,2022-01-01,2022-01-01,False,False
279,hinzufügen,to add,0,0,2022-01-01,2022-01-01,False,False
280,hoch,up,1,0,2022-01-01,2022-01-01,True,False
281,hören,to listen,0,0,2022-01-01,2022-01-01,False,False
282,hunger,hungry,0,0,2022-01-01,2022-01-01,False,False
283,interessant,interesting,0,0,2022-01-01,2022-01-01,False,False
284,jemand,someone,0,0,2022-01-01,2022-01-01,False,False
285,jetzt,now,0,0,2022-01-01,2022-01-01,False,False
286,Juni,June,0,0,2022-01-01,2022-01-01,False,False
287,kalt,cold,1,0,2022-01-01,2022-01-01,False,False
288,kennen,to know,0,0,2022-01-01,2022-01-01,False,False
289,klar,clear,0,0,2022-01-01,2022-01-01,False,False
290,klein,little,0,0,2022-01-01,2022-01-01,False,False
291,knipsen,to push,0,0,2022-01-01,2022-01-01,False,False
292,kommen,to come,0,2,2022-01-01,2022-01-01,False,True
293,kurz,short,0,1,2022-01-01,2022-01-01,False,False
294,lang,long,1,2,2022-01-01,2022-01-01,False,True
295,langsam,slow,1,0,2022-01-01,2022-01-01,False,False
296,laufen,to run,0,1,2022-01-01,2022-01-01,False,False
297,lecker,delicious,1,0,2022-01-01,2022-01-01,False,False
298,ledig,single,0,1,2022-01-01,2022-01-01,False,True
299,leer,empty,0,1,2022-01-01,2022-01-01,False,False
300,leicht,light,0,1,2022-01-01,2022-01-01,False,False
301,leider,unfortunately,0,0,2022-01-01,2022-01-01,False,False
302,lernen,to learn,0,0,2022-01-01,2022-01-01,False,False
303,lesen,to read,0,0,2022-01-01,2022-01-01,False,False
304,letzte,last,0,0,2022-01-01,2022-01-01,False,False
305,mag,like,1,2,2022-01-01,2022-01-01,False,False
306,mehrere,several,0,0,2022-01-01,2022-01-01,False,False
307,Mittwoch,Wednesday,0,0,2022-01-01,2022-01-01,False,False
308,Montag,Monday,1,0,2022-01-01,2022-01-01,False,False
309,müde,tired,1,1,2022-01-01,2022-01-01,False,True
310,nein,no,0,1,2022-01-01,2022-01-01,False,False
311,neu,new,0,-1,2022-01-01,2022-01-01,False,False
312,normal,normal,1,0,2022-01-01,2022-01-01,True,False
313,orange,orange,0,0,2022-01-01,2022-01-01,False,False
314,perfekt,perfect,0,0,2022-01-01,2022-01-01,False,False
315,pikant,spicy,0,0,2022-01-01,2022-01-01,False,False
316,prima,fine,0,-1,2022-01-01,2022-01-01,False,False
317,rennen,to sprint,1,1,2022-01-01,2022-01-01,False,False
318,reservieren,to reserve,0,0,2022-01-01,2022-01-01,False,False
319,richtig,correct,-1,0,2022-01-01,2022-01-01,False,False
320,rosa,pink,0,0,2022-01-01,2022-01-01,False,False
321,rot,red,0,0,2022-01-01,2022-01-01,False,False
322,rund,round,0,0,2022-01-01,2022-01-01,False,False
323,sagen,to say,0,0,2022-01-01,2022-01-01,False,False
324,sauber,clean,0,0,2022-01-01,2022-01-01,False,False
325,sauer,sour,0,0,2022-01-01,2022-01-01,False,False
326,schlafen,to sleep,0,0,2022-01-01,2022-01-01,False,False
327,schnell,fast,0,0,2022-01-01,2022-01-01,False,False
328,schon,already,1,0,2022-01-01,2022-01-01,True,False
329,schwarz,black,1,0,2022-01-01,2022-01-01,True,False
330,schwimmen,to swim,0,2,2022-01-01,2022-01-01,False,True
331,schwul,gay lovers,0,1,2022-01-01,2022-01-01,False,True
332,sehen,to see,0,1,2022-01-01,2022-01-01,False,False
333,sein,to be,0,0,2022-01-01,2022-01-01,False,False
334,September,September,1,0,2022-01-01,2022-01-01,False,False
335,sichtbar,visible,1,0,2022-01-01,2022-01-01,False,False
336,Sonntag,Sunday,0,0,2022-01-01,2022-01-01,False,False
337,sortieren,to sort,0,0,2022-01-01,2022-01-01,False,False
338,spass,fun,0,0,2022-01-01,2022-01-01,False,False
339,spät,late,0,1,2022-01-01,2022-01-01,False,False
340,spenden,to donate,0,0,2022-01-01,2022-01-01,False,False
341,spielen,to play,1,0,2022-01-01,2022-01-01,False,False
342,sprechen,to speak,3,0,2022-01-01,2022-01-01,True,False
343,stark,strong,0,0,2022-01-01,2022-01-01,False,False
344,stehen,to stand up,1,0,2022-01-01,2022-01-01,True,False
345,stimmen,to vote,1,0,2022-01-01,2022-01-01,False,False
346,stoppen,to stop,0,0,2022-01-01,2022-01-01,False,False
347,studieren,to study,0,0,2022-01-01,2022-01-01,False,False
348,süss,sweet,1,0,2022-01-01,2022-01-01,False,False
349,tanzen,to dance,0,0,2022-01-01,2022-01-01,False,False
350,tausend,thousand,0,0,2022-01-01,2022-01-01,False,False
351,telefonieren,to telephone,0,0,2022-01-01,2022-01-01,False,False
352,teuer,expensive,0,0,2022-01-01,2022-01-01,False,False
353,toll,formidable,0,1,2022-01-01,2022-01-01,False,True
354,tragen,to wear,0,0,2022-01-01,2022-01-01,False,False
355,traurig,sad,1,1,2022-01-01,2022-01-01,False,True
356,treffen,to meet,0,0,2022-01-01,2022-01-01,False,False
357,trinken,to drink,1,0,2022-01-01,2022-01-01,False,False
358,tschüss,bye,0,0,2022-01-01,2022-01-01,False,False
359,überall,everywhere,0,1,2022-01-01,2022-01-01,False,False
360,umkämpfen,to beat,0,-1,2022-01-01,2022-01-01,False,False
361,und,and,1,0,2022-01-01,2022-01-01,False,False
362,vegetarier,vegetarian,1,0,2022-01-01,2022-01-01,False,False
363,verheiratet,married,1,0,2022-01-01,2022-01-01,False,False
364,verstehen,to understand,0,0,2022-01-01,2022-01-01,False,False
365,vielleicht,maybe,1,1,2022-01-01,2022-01-01,False,False
366,voll,full,1,0,2022-01-01,2022-01-01,True,False
367,vor,before,0,0,2022-01-01,2022-01-01,False,False
368,vorgestern,the day before yesterday,0,0,2022-01-01,2022-01-01,False,False
369,warm,warm,0,1,2022-01-01,2022-01-01,False,True
370,warum,why,1,0,2022-01-01,2022-01-01,True,False
371,Was machst du beruflich?,What is your work?,0,-1,2022-01-01,2022-01-01,False,True
372,waschen,to wash,1,0,2022-01-01,2022-01-01,False,False
373,weil,because,2,0,2022-01-01,2022-01-01,True,False
374,weiss,white,0,0,2022-01-01,2022-01-01,False,False
375,welche,which,0,0,2022-01-01,2022-01-01,False,False
376,wichtig,important,1,1,2022-01-01,2022-01-01,True,False
377,wie geht es dir?,how are you?,0,0,2022-01-01,2022-01-01,False,False
378,wild,wild,0,0,2022-01-01,2022-01-01,False,False
379,wilkommen,welcome,0,0,2022-01-01,2022-01-01,False,False
380,wirklich,really,1,0,2022-01-01,2022-01-01,False,False
381,wo,where,0,1,2022-01-01,2022-01-01,False,False
382,zeigen,to show,1,0,2022-01-01,2022-01-01,False,False
383,zusammen,together,1,1,2022-01-01,2022-01-01,False,False
384,zweite,second,0,0,2022-01-01,2022-01-01,False,False
385,die Karte,the card,0,0,2022-01-01,2022-01-01,False,False
386,der Nachtisch,the dessert,0,0,2022-01-01,2022-01-01,False,False
387,die Generation,the generation,0,0,2022-01-01,2022-01-01,False,False
388,auch,also,1,0,2022-01-01,2022-01-01,False,False
390,das Theater,the theater,0,0,2022-01-01,2022-01-01,False,False
391,keine Ahnung,no idea,1,0,2022-01-01,2022-01-01,False,False
392,die Idee,the idea,0,-1,2022-01-01,2022-01-01,False,False
393,jubeln,to cheer,-1,0,2022-01-01,2022-01-01,False,False
395,die Adresse,the address,1,0,2022-01-01,2022-01-01,False,False
396,jede,each,1,0,2022-01-01,2022-01-01,True,False
397,früh,early,0,0,2022-01-01,2022-01-01,False,False
399,braun,brown,0,0,2022-01-01,2022-01-01,False,False
400,täglich,daily,0,0,2022-01-01,2022-01-01,False,False
401,dunkel,dark,0,0,2022-01-01,2022-01-01,False,False
404,die Aprikose,the apricot,1,0,2022-01-01,2022-01-01,False,True
405,das Kompliment,the compliment,1,0,2022-01-01,2022-01-01,False,False
407,der Mais,the corn,0,0,2022-01-01,2022-01-01,False,False
409,die Brille,the glasses,0,0,2022-01-01,2022-01-01,False,False
412,das Paar,the pair,0,1,2022-01-01,2022-01-01,False,True
413,die Eltern,the parents,1,0,2022-01-01,2022-01-01,True,False
414,der Rock,the skirt,0,0,2022-01-01,2022-01-01,False,False
416,die Wassermelone,the watermelon,0,0,2022-01-01,2022-01-01,False,True
418,das Jahr,the year,1,0,2022-01-01,2022-01-01,False,False
419,eine Frage stellen,to ask a question,0,0,2022-01-01,2022-01-01,False,False
423,erklären,to explain,0,0,2022-01-01,2022-01-01,False,False
424,finden,to find,0,0,2022-01-01,2022-01-01,False,False
425,killen,to kill,1,1,2022-01-01,2022-01-01,True,False
431,unsere,our,0,0,2022-01-01,2022-01-01,False,False
432,schön,nice,0,0,2022-01-01,2022-01-01,False,False
433,der Kohl,the cabbage,2,0,2022-01-01,2022-01-01,True,False
438,viel,a lot,2,0,2022-01-01,2022-01-01,True,False
439,Kanada,Canada,0,0,2022-01-01,2022-01-01,False,False
