id_vocab,german,english
367,das Gebäude,the building
368,die Traube,the grape
369,bleiben,to remain
370,das Mitglied,the member
371,unterrichten,to teach
372,der Anhänger,the supporter
373,feiern,to celebrate
374,das Arbeitplatz,the workplace
375,höflich,polite
376,die Stelle,the place
377,der Dorn,the thorn
378,der Satz,the sentence
379,der Jubel,the cheer
380,gleich,equal
381,die Brombeere,the blackberry
382,sterben,to die
383,fälligkeit,due date
384,der Sauerampfer,the sorrel
385,der Grund,the reason
386,die rote Beeren,the red berries
387,der Musikgeschmak,the musical taste
388,üben,to practice
389,die Vorspeise,the starter
390,die Feige,the fig
391,das Lachen,the laugh
392,die Ankunft,the arrival
393,bekommen,to obtain
394,der Termin,the appointment
395,zurzeit,for now
396,der Künstler,the artist
397,das Ergebnis,the outcome
398,der Zweifel,the doubt
399,der Weizen,the wheat
400,die Sternfrucht,the carambola
401,verlassen,to leave
402,dabei sein,to be there
403,die Aufmerksamkeit,the attention
404,der Grad,the degree
405,lügen,to lie
406,entscheiden,to decide
407,der Haartrockner,the hairdryer
408,das Design,the design
409,die Stube,the lounge
410,der Hügel,the hill
411,insbesondere,especially
412,die Hängematte,the hammock
413,anhalten,to halt
414,der Endiviensalat,the endive
415,der Verkehr,the circulation
416,Nun!,Well!
417,föhnen,to blow-dry
418,der Teil,the part
419,die Litschi,the lychee
420,sich beschweren,to complain
421,der Wahnsinn,the madness
422,die Tiefe,the depth
423,aufreissen,to tear open
424,die Sammlung,the collection
425,der Schwamm,the sponge
426,fast,almost
427,aufhören,to cease
428,sofort,immediately
429,das Streichholz,the match
430,sich streiten,to quarrel
431,die Rübe,the turnip
432,der Stock,the floor
433,gelingen,to succeed
434,passen,to go well
435,darauf,thereon
436,sich bedanken,to say thank you
437,wach,awake
438,die Lauchzwiebel,the spring onion
439,Bekannte,the friends
440,unpraktisch,impractical
441,das Sternzeichen,the zodiacal sign
442,mitteilen,to inform
443,der Schnittlauch,the chives
444,was für,what kind of
445,reichen,to be sufficient
446,die Sache,the case
447,die Öffentliche Verkehrsmittel,the public transports
448,der Rettich,the radish
449,der Notruf,the emergency call
450,veranstalten,to organize
451,besetzen,to occupy
452,das Reh,the deer
453,schützen,to protect
454,freuen,to be looking forward
455,die Zuckerschoten,the snow peas
456,irreführend,misleading
457,der Rand,the edge
458,wünschen,to wish
459,verschenken,to give away
460,der Feldsalat,the lamb's lettuce
461,davon,thereof
462,ausgezeichnet,excellent
463,legen,to place
464,auftauchen,to pop up
465,die Erziehung,the education
466,zögern,to hesitate
467,das Heilmittel,the remedy
468,der Zauberspruch,the spell
469,eins nach dem anderen,one by one
470,die Vergleich,the comparison
471,der Standort,the location
472,das Abkommen,the agreement
473,beschwören,to conjure
474,die Häufigkeit,the frequency
475,leihen,to borrow
476,der Vorfall,the incident
477,daneben,besides that
478,die Beziehung,the relationship
479,der Felsen,the rock
480,verzeihen,to forgive
481,der Käse,the cheese
482,die Strumpfhose,the hoose
483,das Essen,the meal
484,fressen,to eat (animal)
485,lernen,to learn
486,einmal,once
487,das Kreuz,the cross
488,rosa,pink
489,der Fuss,the foot
490,der Berg,the mountain
491,der Ingenieur,the engineer
492,der Winter,the winter
493,fertig,ready
494,nehmen,to take
495,die Socken,the socks
496,der Weisskohl,the white cabbage
497,Oktober,October
498,kämpfen,to fight
499,die Physalis,the physalis
500,die Glocke,the bell
501,wegen,because of
502,luxuriös,luxurious
503,der Löffel,the spoon
504,die Hyäne,the hyena
505,die Melone,the melon
506,ausziehen,to take off
507,belohnen,to reward
508,die Tollwut,the rabies
509,verwirklichen,to achieve
510,bügeln,to iron
511,demzufolge,consequently
512,der Bon,the voucher
513,ankommen,to arrive
514,streiten,to argue
515,ernst,serious
516,das Frühstück,the breakfast
517,einsteigen,to get on
518,ähnlich,similar
519,knien,to kneel
520,die Absicht,the intention
521,die Jugendherberge,the youth hostel
522,die Prüfung,the examination
523,Kapiert?,Geddit?
524,das Kühlhaus,the cold store
525,der Schiedrichter,the referee
526,die Musik,the music
527,gießen,to pour
528,die Zukunft,the future
529,das Denkmal,the monument
530,besuchen,to visit
531,perfide,perfidious
532,uralt,ancient
533,die Gartenbohne,the French bean
534,aussteigen,to get out
535,die Wirtschaft,the economy
536,die Schwarzwurzel,the salsify
537,der Schrank,the cupboard
538,die Petersilie,the parsley
539,schwimmbecken,to pool
540,abseits,offside
541,die Stachelbeere,the gooseberry
542,die Wüste,the desert
543,das Schweigen,the silence
544,die Bejahung,the affirmation
545,der Liebling,the favourite
546,die Heidelbeere,the blueberry
547,der Muskelkater,the sore muscles
548,wem,who
549,der Knoblauch,the garlic
550,der Rüssel,the trunk
551,die Kastanie,the chestnut
552,der Sessel,the armchair
553,das Hauptgericht,the main course
554,die Vorbereitung,the preparation
555,die Gegenwart,the present
556,neben,besides
557,weiter so,keep it up
558,das Schaf,the sheep
559,der Schluckauf,the hiccup
560,ewig,eternally
563,benutzen,to use
568,verstehen,to understand
574,klein,small
575,müde,tired
577,der Reis,the rice
583,schlafen,to sleep
596,die Wohnung,the flat
603,die Möbel,the furniture
605,der Partner,the partner
608,das Stück,the piece
609,schnell,fast
612,die Hausnummer,the house number
613,die Sprache,the language
614,die Zeitung,the newspaper
615,die Pflanze,the plant
625,frisch,fresh
635,zeigen,to show
636,der Sport,the sport
643,der Lehrer,the teacher
645,ganz,whole
652,die Übung,the exercise
653,die Lampe,the lamp
654,der Salat,the salad
655,der Balkon,the balcony
659,schmecken,to taste
661,das Schlafzimmer,the bedroom
665,das Sofa,the sofa
667,die Kirsche,the cherry
670,ledig,single
672,die Mango,the mango
676,trinken,to drink
680,die Frau,the woman
682,leider,unfortunately
683,aber,but
687,das Wörterbuch,the dictionary
690,dann,then
696,die Tochter,the daughter
700,spät,late
701,wo,where
703,der Euro,the euro
707,haben,to have
709,der Apfel,the apple
712,der Vater,the father
716,sitzen,to sit
726,das Glas,the glass
733,welche,which
736,kalt,cold
757,die Flasche,the bottle
760,falsch,wrong
765,kurz,short
773,die Kartoffel,the potato
774,kochen,to cook
775,beide,both
776,der Bruder,the brother
777,die Nudel,the pasta
779,das Brot,the bread
781,die Garage,the garage
789,morgen,tomorrow
795,und,and
800,übermorgen,the day after tomorrow
803,der Bleistift,the pencil
807,der Kunde,the customer
811,essen,to eat
826,die Schwester,the sister
834,der Nachmittag,the afternoon
836,das Wohnzimmer,the living room
838,telefonieren,to telephone
847,das Obst,the fruit
848,manchmal,sometimes
849,bitte,please
850,gehen,to go
851,der Tisch,the table
853,die Terrasse,the terrace
855,das Büro,the office
858,der Teppich,the carpet
866,der Fisch,the fish
870,das Wasser,the water
877,lang,long
878,lesen,to read
879,die Schokolade,the chocolate
880,das Salz,the salt
882,das Erdgeschoss,the ground floor
884,jetzt,now
887,das Gemüse,the vegetables
888,danke,thank you
890,die Geschwister,the siblings
894,teuer,expensive
895,die Zeit,the time
896,die Seite,the page
899,die Himbeere,the raspberry
900,die Tomate,the tomato
901,der Tee,the tea
903,neu,new
905,die Toilette,the toilet
914,richtig,correct
916,der Stuhl,the chair
918,das Geld,the money
919,die Tasche,the bag
923,der Schlüssel,the key
926,der Saft,the juice
939,die Mutter,the mother
951,die Milch,the milk
961,vorgestern,the day before yesterday
964,verheiratet,married
965,lecker,delicious
968,das Beispiel,the example
969,grillen,to grill
977,heute,today
978,das Bier,the beer
980,das Zentrum,the centre
986,die Zahl,the number
990,die Form,the form
996,das Fenster,the window
999,laut,loud
1001,der Computer,the computer
1002,die Kiwi,the kiwi
1005,vor,before
1007,interessant,interesting
1009,der Wein,the wine
1022,der Schnee,the snow
1023,der Westen,the west
1024,der Mantel,the coat
1030,der Arm,the arm
1035,der Kalender,the calendar
1036,trocken,dry
1045,die Mathematik,the mathematics
1046,der Teller,the plate
1053,blau,blue
1057,berichten,to report
1059,treffen,to meet
1064,korrigieren,to correct
1066,das Hemd,the shirt
1073,tragen,to wear
1082,der Mond,the moon
1086,das Ohr,the ear
1087,der Strand,the beach
1094,der Fahrer,the driver
1104,rot,red
1117,der Arzt,the doctor
1119,das Rezept,the recipe
1127,die Werkstatt,the workshop
1129,heiraten,to marry
1152,einladen,to invite
1153,fangen,to catch
1155,schlecht,bad
1157,die Blume,the flower
1166,der Koffer,the suitcase
1175,die Bibliothek,the library
1177,der Baum,the tree
1182,der Student,the student
1190,Dezember,December
1191,zweite,second
1193,wählen,to choose
1195,der Zug,the train
1201,der Schatz,the treasure
1209,der Handschuh,the glove
1210,blöd,stupid
1216,warm,warm
1217,das Rathaus,the city hall
1221,das Café,the café
1224,gelb,yellow
1225,die Bluse,the blouse
1228,bezahlen,to pay
1231,der Rücken,the back
1234,glauben,to believe
1247,das Hotel,the hotel
1248,stark,strong
1254,das Restaurant,the restaurant
1260,der Körper,the body
1261,kennen,to know
1265,der Sommer,the summer
1271,der Tourist,the tourist
1278,April,April
1283,das Kleid,the dress
1288,das Radio,the radio
1290,die Grippe,the flu
1292,probieren,to try
1295,studieren,to study
1298,verdienen,to earn
1300,anfangen,to start
1302,schwarz,black
1305,voll,full
1314,das Schiff,the ship
1317,die Einladung,the invitation
1331,der Kopf,the head
1333,denken,to think
1338,rauchen,to smoke
1339,praktisch,practical
1344,umtauschen,to exchange
1346,die Bewegung,the movement
1348,fotografieren,to photograph
1350,das Fieber,the fever
1358,die Nase,the nose
1366,August,August
1375,der Schmerz,the pain
1376,das Praktikum,the internship
1380,das Telefon,the telephone
1382,sonnig,sunny
1384,backen,to bake
1387,tanzen,to dance
1391,fühlen,to feel
1396,letzte,last
1400,der Hund,the dog
1402,die Jacke,the jacket
1409,vielleicht,maybe
1413,der Finger,the finger
1419,die Gruppe,the group
1422,rund,round
1427,geben,to give
2092,weiss,white
2093,leer,empty
2094,ausmachen,to turn off
2095,der Orangensaft,the orange juice
2096,Guten Tag,good day
2097,spielen,to play
2098,das Lotto,the lottery
2099,schwul,gay lovers
2100,normal,normal
2101,der Enkel,the grand-son
2102,orange,orange
2103,das Pferd,the horse
2104,attraktiv,attractive
2105,schwimmen,to swim
2106,der Junge,the boy
2107,Deutschland,Germany
2108,die Grossmutter,the grand-mother
2109,das Mädchen,the girl
2110,Guten Morgen,good morning
2111,entschuldigung,excuse-me
2112,der Sekretär,the secretary
2113,prima,fine
2114,Gute Nacht,good night
2115,die Gewinnzahl,the winning number
2116,wilkommen,welcome
2117,die Moral,the morality
2118,das Tier,the animal
2119,der Prinz,the prince
2120,bitte sehr,you're welcome
2121,hoch,up
2122,die Angst,the fear
2123,sagen,to say
2124,klar,clear
2125,der Arkitekt,the architect
2126,das Öl,the oil
2127,fantastisch,fantastic
2128,durst,thirsty
2129,der Veteran,the veteran
2130,das Material,the material
2131,tausend,thousand
2132,die Sauce,the sauce
2133,die Flagge,the flag
2134,das Pronomen,the pronoun
2135,das Camping,the camping
2136,die Fliege,the fly
2137,der Laptop,the laptop
2138,die Qualifikation,the qualification
2139,perfekt,perfect
2140,sprechen,to speak
2141,gesund,healthy
2142,stimmen,to vote
2143,sichtbar,visible
2144,hinzufügen,to add
2145,sauer,sour
2146,die Hexe,the witch
2147,die Ente,the duck
2148,umkämpfen,to beat
2149,der Elefant,the elephant
2150,der Fluss,the river
2151,wirklich,really
2152,der Konflikt,the conflict
2153,der Tiger,the tiger
2154,die Ferien,the holidays
2155,das Recht,the right
2156,die Enkelin,the grand-daughter
2157,der Bär,the bear
2158,die Philosophie,the philosophy
2159,der Seher,the seer
2160,das Zebra,the zebra
2161,die Rose,the rose
2162,die Jugend,the youth
2163,das Omelette,the omelette
2164,der Kunststoff,the plastic
2165,die Theorie,the theory
2166,der Regenschirm,the umbrella
2167,der Käfer,the cockroach
2168,das Metall,the metal
2169,rennen,to sprint
2170,die Stimme,the voice
2171,die Couch,the couch
2172,das Holz,the wood
2173,das Ethik,the ethique
2174,laufen,to run
2175,diskutieren,to discuss
2176,der Praktikant,the intern
2177,die Möglichkeit,the possibility
2178,die Katze,the cat
2179,erste,first (adj.)
2180,spass,fun
2181,die Freundin,the girlfriend
2182,der Geist,the ghost
2183,mehrere,several
2184,das Protokoll,the protocol
2185,die Ehefrau,the wife
2186,die Kosmetik,the make-up
2187,der Grossvater,the grand-father
2188,der Wurst,the sausage
2189,blind,blind
2190,bis Später,see you later
2191,das TischTennis,the table tennis
2192,allein,alone
2193,der Löwe,the lion
2194,die Identität,the identity
2195,traurig,sad
2196,das Alphabet,the alphabet
2197,pikant,spicy
2198,Juni,June
2199,der Leopard,the leopard
2200,schon,already
2201,das Produkt,the product
2202,knipsen,to push
2203,bequem,convenient
2204,die Kumquat,the kumquat
2205,jemand,someone
2206,der Maler,the painter
2207,der Wald,the forest
2208,die Fotografie,the photography
2209,das Insekt,the insect
2210,die Chemie,the chemistry
2211,der Friseur,the hairdresser
2212,die Kuh,the cow
2213,wild,wild
2214,die rote Karte,the red card
2215,der Küchenchef,the cook
2216,das Leben,the life
2217,der Journalist,the journalist
2218,sortieren,to sort
2219,die Tradition,the tradition
2220,die Literatur,the literature
2221,das Notizbuch,the notebook
2222,das Boot,the boat
2223,der Hut,the hat
2224,deklinieren,to decline
2225,die Reisetasche,the travel bag
2226,das Turnier,the tournament
2227,umsteigen,to change trains
2228,der Gorilla,the gorilla
2229,das Schloss,the castle
2230,bunt,colorful
2231,die Geldbörse,the purse
2232,überraschen,to surprise
2233,die Briefmarke,the stamp
2234,der Fuchs,the fox
2235,verlieren,to lose
2236,schwül,humide
2237,der Penalty,the penalty
2238,überrascht,surprised
2239,die Artischocke,the artichoke
2240,die Clementine,the clementine
2241,die Scheibe,the slice
2242,die Cranberry,the cranberry
2243,der Wolf,the wolf
2244,der Turm,the tower
2245,der Anrufer,the caller
2246,möglich,possible
2247,schminken,to make up
2248,das Comicbuch,the comic book
2249,die Avocado,the avocado
2250,der Zuhörer,the listener
2251,der Strom,the electricity
2252,der Ehemann,the husband
2253,die Wohnungssuche,the search for housing
2254,woher,where … from
2255,der Fußball,the football
2256,er,he
2257,schön,beautiful
2258,willkommen,to welcome
2259,liebe,dear
2260,der Keller,the celler
2261,das Lebensmittel,the groceries
2262,das Foto,the photo
2263,die Wohnungsanzeige,the flat advertisement
2264,sie,they
2265,unterstreichen,to emphasize
2266,das Gespräch,the interview
2267,nie,never
2268,der Wohnort,the place of residence
2269,nicht,not
2270,in,in
2271,die Sonne,the sun
2272,besser,better
2273,die Wand,the wall
2274,das Olivenöl,the olive oil
2275,denn,because
2276,geöffnet,open
2277,die Pause,the break
2278,das Reihenhaus,the terraced house
2279,jeder,every
2280,der Obstsalat,the fruit salad
2281,der Deutschkurs,the German course
2282,meistens,mostly
2283,die Hauptsache,the main thing
2284,dringend,urgent
2285,die Möhre,the carrot
2286,die Orange,the orange
2287,die Straße,the street
2288,der Donnerstag,Thursday
2289,der Supermarkt,the supermarket
2290,müssen,to have to
2291,die Mittagspause,the lunchtime
2292,wie,how
2293,die Person,the person
2294,finden,to find
2295,das Lammfleisch,the lamb meat
2296,die Badewanne,the bathtub
2297,viel,many
2298,die Anmeldung,the registration
2299,das Jahr,the year
2300,also,well
2301,schauen,to look
2302,ja,yes
2303,putzen,to clean
2304,die Hausaufgabe,the homework
2305,das Übungsbuch,the exercise book
2306,genau,exactly
2307,bisschen,a little
2308,der Müll,the rubbish
2309,der Rucksack,the backpack
2310,die Größe,the size
2311,die Kontrolle,the control
2312,der Montag,Monday
2313,das Viertel,the quarter to
2314,streichen,to paint
2315,die Idee,the idea
2316,die Schule,the school
2317,die Dusche,the shower
2318,die Anzeige,the advert
2319,erklären,to explain
2320,etwas,something
2321,die Landkarte,the map
2322,die Woche,the week
2323,der Kugelschreiber,the ball
2324,helfen,to help
2325,die E-mail,the email
2326,der Morgen,the morning
2327,der Einkaufszettel,the shopping list
2328,maximal,maximal
2329,die Marmelade,the jam
2330,der Familienname,the surname
2331,das Heimatland,the home country
2332,der Samstag,Saturday
2333,das Kursbuch,the course book
2334,heißen,to be called
2335,die Postleitzahl,the postcode
2336,sehr,very
2337,der Kuchen,the cake
2338,wann,when
2339,schmal,narrow
2340,der Kurs,the course
2341,nett,nice
2342,das Elektrogerät,the electronic device
2343,mittags,at midday
2344,das Haus,the house
2345,der Juni,the june
2346,halb,half past
2347,direkt,direct
2348,hören,to hear
2349,das Problem,the problem
2350,die Mengenangabe,the amount
2351,der Papierkorb,the waste paper bin
2352,die Telefonnummer,the telephone number
2353,brauchen,to need
2354,der Liter,the litre
2355,die Spülmaschine,the dishwasher
2356,das Hochhaus,the high
2357,der Tag,the day
2358,der Gast,the guest
2359,hell,light
2360,der Quadratmeter,the squaremetre
2361,weiter,further
2362,die Handynummer,the mobile number
2363,die Arbeit,the work
2364,das Brötchen,the bread roll
2365,die Sprachschule,the language school
2366,ruhig,peaceful
2367,was,what
2368,der Becher,the container
2369,sollen,to be supposed to
2370,wenn,if
2371,die Nacht,the night
2372,das WC,the WC
2373,die Diele,the hallway
2374,die Babynahrung,the baby food
2375,diese,this
2376,der Bauernhof,the farm
2377,die Kaffeemaschine,the coffee machine
2378,das Einfamilienhaus,the detached hosue
2379,Tschüss,bye
2380,noch,also
2381,das Pfund,the pound
2382,gemeinsam,together
2383,das Gerät,the appliance
2384,fragen,to ask
2385,der Spitzer,the pencil sharpener
2386,der Hunger,the hunger
2387,die Familie,the family
2388,spülen,to rinse
2389,nachmittags,in the afternoons
2390,es,it
2391,die Kaution,the deposit
2392,schreiben,to write
2393,oder,or
2394,das Obergeschoss,the upper floor
2395,über,about
2396,das Bistro,the bistro
2397,die Adresse,the address
2398,das Computerspiel,the computer game
2399,der Kontakt,the contact
2400,der Name,the name
2401,hier,here
2402,dazu,in addition
2403,kaufen,to buy
2404,der Altbau,the old building
2405,die Zitrone,the lemon
2406,mindestens,at least
2407,möbliert,furnished
2408,das Kilo,the kilo
2409,die Immobilie,the property
2410,die Grammatik,the grammar
2411,das Wochenende,the weekend
2412,antworten,to answer
2413,nur,only
2414,der Kleiderschrank,the wardrobe
2415,der Pudding,the pudding
2416,circa,around
2417,die Stunde,the hour
2418,der Stundenplan,the schedule
2419,die Bohne,the bean
2420,die Liste,the list
2421,ohne,without
2422,verwitwet,widowed
2423,das Bett,the bed
2424,planen,to plan
2425,bei,at
2426,das Buch,the book
2427,das Haustier,the pet
2428,das Fleisch,the meat
2429,vormittags,in the morning
2430,durch,through
2431,nachts,at night
2432,mögen,to like
2433,der Mittag,the midday
2434,das Angebot,the offer
2435,die Hilfe,the help
2436,der Monat,the month
2437,der Feiertag,the public holiday
2438,der Freitag,Friday
2439,ein,a
2440,endlich,finally
2441,hallo,hello
2442,billig,cheap
2443,gepflegt,looked after
2444,die Information,the information
2445,der Apfelsaft,the apple juice
2446,das Heft,the booklet
2447,verbinden,to connect
2448,das Bad,the bath
2449,der Abend,the evening
2450,immer,always
2451,der Zettel,the note
